title,author,date,supervisor,faculty,abstract,keywords
"Impromptu Curations
A research into the effect of multi-purpose venues on the
aesthetic experience of experimental music",A. Kardamaki,2019-11-23,['K. van Eijck'],"Erasmus School of History, Culture and Communication","The basis of this research work begins with observing the spaces used for the
presentation of experimental music. We find that there is variety in the venues and that
it often includes more informal club environments. With this choice musicians must
decide how to adapt to the conditions and adjust them to what is presented. Their
experience and intuition help them assess, both before and during the presentation, how
they can intervene so that the outcome fulfills their intentions. But how close are their
expectations to the public's experience?
A concert was organized for the purpose of the research in WORM Institute for
Avantgardistic Recreation (Rotterdam, The Netherlands), an alternative, multi-purpose
venue. Through the analysis of semi-structured interviews of audience and musicians
we wanted to observe trends in the interpretations of the works. At the same time, the
combination of the empirical data with theoretical approaches helped us understand
the different factors involved in perception and signification processes; the
performance, the listener (knowledge, training and lived experience) and the context –
venue.
This study has gone some way towards enhancing our understanding of multi-genre
venues. It has revealed that these types of venues amplify certain qualities of
experimental music, while obscuring others. Furthermore, we can confidently say that
such curations encourage audiences to approach specific kinds of experimental music
in a positive way.","['kunstwetenschappen', 'cultuurwetenschappen', 'audience research', 'experimental music', 'multi-purpose venues', 'live', 'performance', 'listening']"
Lane’s Market Experience in the Contemporary Market Economy,M. Belhaine,2019-11-15,,Erasmus School of Philosophy,"Economists are increasingly incorporating psychological insights about human motivations and needs into economic models to better predict the behaviour of market agents. So far, however, economics is still based on the often refuted principles of neoclassical economic theory. This thesis reviews the alternative market theory of a producer economy put forward by Robert E. Lane in his book ‘The Market Experience’. Lane argues that it is not income, but rather human development and satisfaction of life as-a-whole that a market’s contribution to human wellbeing should be judged by. In the producer economy, complex and meaningful work is seen as the market’s biggest source of human development and implicitly happiness. In response to his theory, this thesis analyses whether i) Lane’s producer economy would be a better predictor of the market’s contribution to a person’s wellbeing, and ii) whether it provides a superior alternative for the current criterion of neoclassical economic theory by which we judge markets. First, I argue that for some work can be a source of stress and anxiety and it is not obvious that work is the market’s biggest contributor to happiness. Secondly, the producer theory is not compatible with market forces, as Lane recognizes, and fails to provide us with a theoretically sound alternative economic theory.",
"""Onder de loep"". Een onderzoek naar de inrichting van Betsuurlijke integriteit","Dompeling, Robin",2019-10-29,"['Prof.dr. A. van Buuren', 'Prof.dr.ing G.R. Teisman']",Erasmus School of Social and Behavioural Sciences,"Vanuit de maatschappij is er een groeiende verwachting dat bestuurders een morele voorbeeldfunctie horen in te nemen. Er wordt vanuit de maatschappij verwacht dat bestuurders menselijke aspecten bezitten, maar daarnaast weten wat ‘goed’ en ‘slecht’ is en zich vooral ‘goed’ gedragen. Niet alleen in functie maar ook binnen hun privé-leven wordt deze houding van bestuurders verwacht. Lokale bestuurders staan dicht bij burgers. Hun beleid is direct voelbaar. Hierdoor neemt de focus op hun handelen toe. Het is voor gemeenten belangrijk wethouders te hebben die de gemeente en haar burgers op een integere manier vertegenwoordigen. Het niet volgens maatstaven handelen kan schadelijk zijn voor de organisatie. Toch lijkt dit vaak makkelijker gezegd dan gedaan. De aan-dacht voor integriteit binnen publieke organisaties is gegroeid. Ondanks de aandacht vanuit de maatschappij, de urgentie om dit goed te regelen en de bestuurlijke ambitie, zien we dat het lastig is om integriteit in de praktijk in te richten en verschilt de aanpak vaak van gemeente op gemeente. Ook ligt de focus vaak op ambtelijke integri-teit en in mindere mate op bestuurlijke integriteit. Dit terwijl bestuurders veelal een morele voorbeeldfunctie ge-nieten en het gezicht van de publieke organisatie zijn. Vanuit publieke organisaties is er aandacht voor het onder-werp en een urgentie om schendingen te voorkomen. De maatschappij heeft verwachtingen en bij het niet nako-men ervan kan het oordeel soms zwaar zijn en is de omgeving waarin bestuurders opereren bewegelijk en com-plex. Daarentegen is een publieke organisatie regelmatig geneigd om te structureren en simplificeren om het toetsbaar en handbaar te maken. Doordat integriteitschendingen van bestuurders vaak leiden tot schade aan de organisatie, de omgeving van bestuurders steeds dynamischer en complexer is en verwachtingen veranderen door de jaren heen, is het van belang om de omgeving te doorgronden en de inrichting te laten aansluiten zodat de schade beperkt blijft doordat de structuur mee kan bewegen met de omgeving. Steeds weer zien we een terug-trekkende beweging van burgers in de politiek, een verharding in de samenleving tegenover bestuurders en min-der vertrouwen in het ambt. Het is daarom van belang dat burgers zien dat het voor bestuurders belangrijk is om zich integer te gedragen en dat hier stappen in gemaakt worden zonder dat de verwachtingen van de burgers te-nietgedaan worden. Daarnaast neemt de rol van burgers in overheidsbeleid toe door de toename van participatie en zet dit op onderwerpen waar burgers het idee hebben niet gehoord te worden op scherp. Integriteit is een com-plex begrip dat vanuit verschillende invalshoeken bekeken kan worden. Er is geen eenduidigheid over het begrip. Er bestaat invulling uit de ethiek, psychologie, leiderschapstheorieën, bestuurskunde en bedrijfskunde. In de we-tenschap ligt de focus van theorievorming vaak op bedrijven. De weinige theorievorming over de publieke sector richt zich vaak op ambtelijke en niet op bestuurlijke integriteit. In het onderzoek staat de volgende onderzoeks-vraag centraal:
‘’Hoe sluit de inrichting van integriteit voor Rotterdamse bestuurders aan op de eisen die hun omgeving stelt en welke aanpassingen aan de inrichting reduceren de kans op integriteitschendingen?’’
De vraag bestaat uit drie deelvragen, die samen de vraag beantwoorden:
1. Hoe is de bestuurlijke integriteit ingericht bij Nederlandse gemeenten?
2. Welke omgevingskarakteristieken leggen druk op de inrichting van bestuurlijke integriteit en welk effect hebben ze?
3. Is de inrichting van bestuurlijke integriteit passend bij de eisen van de omgeving en welke aanpassingen zouden een betere fit met de eisen van de omgeving kunnen realiseren?
In het theoretisch kader worden verschillende theorieën behandeld. Het eerste gedeelte richt zich op de duiding van integriteit en integriteitbeleid en het tweede gedeelte op de bestuurlijke omgeving. De uitkomst van het eerste gedeelte is dat integriteit bestaat uit twee richtingen: complaince-based beleid of value-based beleid. Het tweede gedeelte definieert de bestuurlijke omgeving als een complexe en dynamische omgeving waarin verschillende omgevingsfactoren (schakelen tussen systemen, opereren in netwerken, culturele ontwikkelingen en trend), om-gevingseisen (responsief bestuur, behoorlijk bestuur, presterend bestuur en onkreukbaar bestuur), individuele ka-rakteristieken/kwaliteiten bestuurder (vaardigheden en eigenschappen) en beïnvloeding van actoren (media, poli-tieke klimaat en netwerk partners) leidt tot deze dynamiek en complexiteit en dus de omgevingskarakteristieken beschrijven waar bestuurders mee te maken krijgen.
Het kwalitatieve onderzoek is gedeeltelijk beschrijvend, verklarend en ontwerpend van aard. Er is gebruik ge-maakt van twee onderzoeksmethoden om de data te verzamelen: deskresearch/literatuurstudie en veldonderzoek. De literatuurstudie bestaat uit het raadplegen en bestuderen van bestaande literatuur over het onderwerp en de
6
daaromheen liggende begrippen. Het verzamelen van de data bij het veldonderzoek bestaat uit het afnemen van 16 semigestructureerde interviews met bestuurders van lokale overheden, partijbesturen van lokaal actieve poli-tieke partijen, griffie van gemeentelijke organisaties en ambtelijke ondersteuning met de portefeuille integriteit zoals de gemeentesecretaris of adviseurs/coördinatoren. De interviews zijn, gezien de gevoeligheid van het on-derwerp, anoniem afgenomen en verwerkt. Om anonimiteit te garanderen zijn de gemeenten ingedeeld in ge-meenten met meer dan 300.000 inwoners en minder dan 300.000 inwoners.
Bij de beantwoording van deelvraag één werd duidelijk dat de visie van het ministerie veranderd. Van compliance en wetgeving naar een gedragsmatige bewustwordingencampagne. Gemeenten kunnen zelfstandig hun visie op en invulling van bestuurlijke integriteit bepalen. Hierdoor zien we verschil in de inrichting van bestuurlijke integriteit bij gemeenten. Bij de meeste gemeenten uit de categorie >300.000 inwoners staat bestuurlijke integriteit in de kinderschoenen .Implementatie blijft echter lastig door de gebaande paden richting het aanbrengen van structuur in de organisatie en het klassieke samenwerkingsverband. De gemeente Rotterdam valt in de categorie >300.000 inwoners maar verschilt er wel van. Zoals hierboven is gesteld, houden de grotere gemeenten meer vast aan wet- en regelgeving. Hierin wordt minder rekening gehouden met gedrag en het stimuleren van regels. De gemeente Rotterdam heeft een combinatie van beiden. Er is al veel vastgelegd in regelgeving en procedures en ondanks dat er focus is op het up to dat houden van de al vastgelegde regelgeving, is een verschuiving waarneembaar naar gedrag en bewustzijn. De categorie <300.000 inwoners heeft wel een basis aan regelgeving en procedures vastge-legd maar gebruiken dit nu als kader om gedrag en bewustzijn te verbeteren. Ze hebben meer vastgelegd met de focus meer op het stimuleren van gedrag dan het naleven van regels. In de categorie >300.000 inwoners wordt de huidige manier van samenwerken gedefinieerd als een lineair samenwerkingsverband, ook voor de gemeente Rot-terdam. De burgemeester spreekt met de gemeentesecretaris en de griffier maar deze overleggen niet met elkaar over een gezamenlijke visie ten aanzien van bestuurlijke integriteit. Er is een duidelijk verschil tussen grote ge-meenten en de categorieën < 300.000. Daar zijn gemeenten meer in staat om de stap te zetten naar gedrag en bewustwording. In deze gemeenten werken de actoren aan de top samen aan bestuurlijke integriteit en hebben, in hun eigen orgaan, dezelfde visie op het onderwerp implementeren. Dit samenwerkingsverband is geduid als drie-hoeksverhouding waarbij de actoren samenwerken aan een eenduidige visie en samenwerking op het onderwerp.
Bij deelvraag 2 komt naar voren dat de omgeving verschillende karakteristieken bevat: 1. Schakelen tussen ver-schillende systemen; 2. Opereren in netwerken; 3. Basisvereisten van openbaar bestuur; 4. Culturele ontwikkelin-gen en trends; 5. Invloed van media (en anderen actoren) op openbaar bestuur; 6. Individuele vereisten publiekelijk leider. Deze karakteristieken worden samengevat in omgevingsfactoren, omgevingsvereisten, invloed van actoren en individuele vereisten. De onderliggende processen hebben bepaalde effecten op bestuurders. Door de focus op integriteit wordt integriteit gezien als een beoordeling van het functioneren en blijft de bestuurder hier liever van vandaan. Dit doordat de kans op politieke schade hierbij groot kan zijn. Dit wordt veroorzaakt door de focus van media en het politiseren van integriteit. Dit heeft als effect dat het vertrouwen onder betrokken actoren en bestuur-ders verminderd en het ‘open’ gesprek niet plaatsvindt door de angst om negatief beoordeeld te worden. Daarnaast vraagt de omgeving steeds meer aandacht. Hierbij moet een bestuurder schakelen tussen verschillende belangen, spelregels en investeren in verschillende relaties. Hierdoor worden acties onoverzichtelijker voor een bestuurder en neemt de onzekerheid in het eigen handelen af. Wanneer deze niet duidelijk kan overzien welke gevolgen dit kan hebben, neemt de onzekerheid toe. Hierdoor kiest de bestuurder voor onderwerpen die wel te overzien zijn en blijft hij weg van bijvoorbeeld integriteit. Integriteit is namelijk niet zwart-wit of zwart-wit te maken.",
"De zilveren generatie, van onschatbare waarde","Reedijk, Else",2019-10-29,"['Dr. B. Vermeeren', 'Dr. N. Cannaerts']",Erasmus School of Social and Behavioural Sciences,,
"Festivalisation and its impact on marketing
strategies of permanent music venues","Sar, Fons van der",2019-10-14,,"Erasmus School of History, Culture and Communication","Festivalisation and its impact on marketing
strategies of permanent music venues","['media', 'creative industries', 'Festivalisation and its impact on marketing', 'strategies of permanent music venues']"
Combating food waste through social enterprises,"Sojkova, Veronika",2019-10-11,"['Dr. I. F. van Meerkerk', 'Dr.ir. J. Eshuis']",Erasmus School of Social and Behavioural Sciences,"This thesis bridges the gaps and connects different bodies of literature. It highlights social enterprises which deal with food waste in an upcycling way by converting surplus food into new products. Following, it delves into concept of social capital initiated in a network organisation with its structural, relational and cognitive dimensions, and seeks to find out what influence these dimensions have on innovation adoption of the enterprises, with the knowledge absorptive capacity affecting this influence. The research question asks: In what ways does the social capital of the network organisation influences social enterprises’ adoption of innovation and what is the role of their knowledge absorptive capacities in this regard?
Analysing relationships between the concepts at stake, this thesis illustrates an exploratory research of qualitative nested case study generating four subcases. Triangulation of methods, consisting of desk research of a secondary data and interviews of open questions, was applied to gather the required data for answering of the research question.
The research concludes that the relationship between the enterprises’ innovation adoption and the social capital presented in the network organisation is absent. In neither of the cases a direct or indirect link could have been established between an innovation adoption as a result of the social capital’s assets and recourses derived from the network organisation, for which possible explanation are outlined. The links observed from the findings present a more ‘modest outcomes’, which although are not directly connected to innovation, still demonstrate meaningful ways of how the enterprises can benefit with their participation in the network. Additionally, the findings highlight the importance of the absorptive capacity for innovation adoption. The knowledge absorptive capacity proved to play a considerable role in the entrepreneurs’ assessment of the network’s social capital influence on their enterprises and of the overall benefits which their participation in the network offers. After drawing of the conclusions, recommendations and suggestions for improvements of the network organisation are discussed, as well as opportunities for a further research.","['Social capital', 'networks', 'absorptive capacity', 'adoption of innovation', 'social enterprises', 'food waste']"
"De voetbalclub als mediabedrijf: een
gevaar voor de sportjournalistiek?
Een onderzoek naar de inhoudelijke verschillen tussen clubmedia en onafhankelijke media in
het voetbal.","Kemps, Stan",2019-10-11,['Aalberts C.'],"Erasmus School of History, Culture and Communication","In dit onderzoek is middels een kwantitatieve inhoudsanalyse meer inzicht verkregen in de
inhoudelijke verschillen tussen clubmedia en onafhankelijke media in de voetbalwereld. Dit
onderwerp is relevant doordat onder meer digitalisering er de laatste decennia voor heeft gezorgd
dat voetbalclubs de technologische mogelijkheden hebben gekregen op te treden als producent en
verspreider van sportcontent. Om te bepalen in welke mate voetbalclubs daarmee concurrenten zijn
geworden van de traditionele voetbaljournalistiek is inhoudelijk onderzoek verreist naar clubmedia.
Dit onderzoek draagt daarom bij aan het bepalen van het toekomstbeeld van de voetbaljournalistiek
in het snel veranderende medialandschap.
Dit onderzoek heeft zich daarbij gericht op magazines, met enerzijds enkele clubmagazines en
anderzijds een onafhankelijke medium in de vorm van Voetbal International. Om de onderzoeksvraag
te beantwoorden zijn in totaal ruim vierhonderd artikelen geanalyseerd voor een vergelijk op basis
van journalistieke kwaliteit, mate van commercie en verschillen in framing. Allereerst is in het kader
van onafhankelijkheid en objectiviteit gekeken naar de verdeling in personen die aan het woord
komen in beide media. Geconcludeerd kan worden dat hierin geen groot verschil zit. In zowel
onafhankelijke media als clubmedia komen spelers het meest aan het woord. Doordat clubmedia voor
een groot deel bestaan uit interviews is in onafhankelijke media meer ruimte voor achtergrond en
opinie. Daarnaast bevat clubmedia meer commercie, met voornamelijk aandacht voor sponsoren en
adverteerders. Hierdoor heeft het clubmagazine veel overeenkomsten met het concept branded
journalism, waar journalistiek, pr en marketing worden gecombineerd. Tot slot is in onafhankelijke
media vaker een kritische houding aanwezig, blijkt uit het feit dat er meer gebruik gemaakt wordt
van het conflictframe. Vanwege het belang van een goed imago richten voetbalclubs zich
daarentegen meer op het persoonlijke leven van een speler en wordt commentaar over spelers
vermeden.
Al met al heeft dit onderzoek duidelijk gemaakt dat clubmedia vanwege enkele journalistieke
kenmerken volgers van een specifieke club een goed alternatief kunnen bieden en daardoor op
kunnen treden als concurrent voor de onafhankelijke voetbaljournalistiek. Tegelijkertijd blijft er een
belangrijke rol weggelegd voor de onafhankelijke voetbaljournalist door zich kritisch op te stellen en
bijvoorbeeld conflict niet te schuwen. Wanneer een fan zich alleen laat informeren door clubmedia
mist diegene daarom de waakhondfunctie van de journalistiek.","['media', 'journalistiek', 'Clubmedia', 'Onafhankelijke media', 'Sportjournalistiek', 'Voetbaljournalistiek', 'Magazines']"
"Electronic word of mouth (eWOM) effects on tourists’ perceptionstowards a
destination
The case study of Colombia and dark tourism","Cîntăreţu, G.V. Cintaretu",2019-10-10,['Uribe Sandoval A.'],"Erasmus School of History, Culture and Communication","This study’s objective is to map how the audience creates an image about a tourism
destination through user-generated content. Literature has stated that UGC aids at promoting a
tourism destination and generates awareness for various services or local problems (De Bruyn &
Lilien, 2008). The present research challenges the idea that dark tourism creates a negative
image for a destination. Therefore, the researcher has chosen the example of Colombia to
analyze how dark tourism can change positively tourists’ perceptions about a destination.
For this study, foreign traveler’s reviews from TripAdvisor were analyzed in order to
respond to the research question: How does the portrayal in social media of “negative tourist
assets” affect the image of countries – specifically, how does the portrayal of drug tourism in
social media affects the image of Colombia among foreign tourists? The criteria for choosing the
reviews was that they had to be written by foreign tourists, due to different perspective tourists
might have about the culture and current situation in Colombia.
For this study, thematic analysis was chosen as analysis method of the dataset. The main
findings of this study exposed that dark tourism can have a positive impact over a tourism
destination because social media and especially UGC, have a great impact on tourists’ decisions
when choosing a destination to travel to. In some cases, user-generated-content has become a
great asset to erase the negative stigma of a country that has been known to have a high level
of violence. Therefore, making tourists curious to visit the places they have seen in series such
as “Narcos” and interact with locals. By studying the effect of narco-tours in Medellin, Colombia
over tourists’ perceptions about the country, this study showsthat travelers enjoy learning about
the dark part of Colombia’s history. According to the results from the analysis, tourists consider
that by educating themselves about what happened in the recent history of Colombia, such
events can be avoided in the future. Moreover, the country is seen as prosperous and with a
positive look over the future. An identified gap in the tourism industry and poorly studied is how
dark tourism influences people's perceptions about the destination and if the UGC helps at
changing opinions. It is important to know how dark tourism influences tourists’ perceptions
about a destination because, marketing and governmental bodies can use travelers’ feedback to
improve their tourism in the area.","['media', 'business', 'TripAdvisor reviews', 'dark tourism', 'UGC', 'eWOM', 'destination image']"
"Utilizing Social Media in Making the World a Better Place
An analysis of ENGOs’ Communication on Facebook","Houwers, Linda",2019-10-07,['Derda I.'],"Erasmus School of History, Culture and Communication","As new media technologies have been on the rise, interest on the implications this has
for individuals and organizations has increased. This changed online setting and new
platforms have impacted the way society functions and communicates. Subsequently, it
provides new opportunities and possibilities on an organizational level as well. These new
developments provide challenges for businesses in determining how to use social media and
what approach should be taken to benefit from its full potential. Exploring such new
functions can help reflect on effective ways to utilize social media in business endeavors.
Here, NGOs stand out as a special category among organizations communicating online.
Their non-profit nature and different organizational goals contrast with for-profit businesses.
As they act on behalf of public interest and want to bring about social change, it is important
how they communicate and use social media. A theory that comes forward in multiple studies
as an effective approach is the idea of strategic communication, which will be the focus of
this study. Furthermore, a prevalent topic of debate in contemporary society is
environmentalism. As such, a focus on environmental NGOs was chosen to highlight this
specific and significant branch of organizations.
This work explores and analyses how ENGOs communicate to their stakeholders on
Facebook. In doing so, it explores the way of communication in the context of a strategic
communication framework. This framework takes into account six different elements: (1)
Disclosure, transparency & openness, (2) Information dissemination, (3) Interactivity, (4)
Engagement & relationship-building, (5) Strategic alliances, and (6) Advocacy. The study
will apply an approach that is both inductive and deductive. 600 posts of four different
ENGOs’ Facebook pages were collected and analyzed using a system of open, axial and
selective codes. The selected organizations are (1) Greenpeace International (2) The National
Wildlife Federation, (3) Friends of the Earth, and (4) Earthwatch. In analyzing these four 
2
organizations, this study seeks to increase knowledge on the way in which Facebook is
utilized in ENGOs communication. It will answer the question How do ENGOs apply
strategic communication on Facebook to inform about, engage on and advocate on issues
regarding the environment?
The analysis has determined in which ways ENGOs participate in strategic
communication and in which elements a different approach is taken. This has mostly resulted
in deductive validation as most organizations apply every element of the strategic
communication framework to a more or lesser extent. However, some deviations of this were
observed and additional significant findings are discovered.","['media', 'business', 'NGOs', 'Strategic Communication', 'Disclosure', 'Information dissemination', 'Interactivity', 'Engagement', 'Advocacy']"
"Utilizing Social Media in Making the World a Better Place
An analysis of ENGOs’ Communication on Facebook",L. Houwers,2019-09-23,['I. Derda'],"Erasmus School of History, Culture and Communication","As new media technologies have been on the rise, interest on the implications this has for individuals and organizations has increased. This changed online setting and new platforms have impacted the way society functions and communicates. Subsequently, it provides new opportunities and possibilities on an organizational level as well. These new developments provide challenges for businesses in determining how to use social media and what approach should be taken to benefit from its full potential. Exploring such new functions can help reflect on effective ways to utilize social media in business endeavors. Here, NGOs stand out as a special category among organizations communicating online. Their non-profit nature and different organizational goals contrast with for-profit businesses. As they act on behalf of public interest and want to bring about social change, it is important how they communicate and use social media. A theory that comes forward in multiple studies as an effective approach is the idea of strategic communication, which will be the focus of this study. Furthermore, a prevalent topic of debate in contemporary society is environmentalism. As such, a focus on environmental NGOs was chosen to highlight this specific and significant branch of organizations. This work explores and analyses how ENGOs communicate to their stakeholders on Facebook. In doing so, it explores the way of communication in the context of a strategic communication framework. This framework takes into account six different elements: (1) Disclosure, transparency & openness, (2) Information dissemination, (3) Interactivity, (4) Engagement & relationship-building, (5) Strategic alliances, and (6) Advocacy. The study will apply an approach that is both inductive and deductive. 600 posts of four different ENGOs’ Facebook pages were collected and analyzed using a system of open, axial and selective codes. The selected organizations are (1) Greenpeace International (2) The National Wildlife Federation, (3) Friends of the Earth, and (4) Earthwatch. In analyzing these four organizations, this study seeks to increase knowledge on the way in which Facebook is utilized in ENGOs communication. It will answer the question How do ENGOs apply strategic communication on Facebook to inform about, engage on and advocate on issues regarding the environment? The analysis has determined in which ways ENGOs participate in strategic
communication and in which elements a different approach is taken. This has mostly resulted in deductive validation as most organizations apply every element of the strategic communication framework to a more or lesser extent. However, some deviations of this were observed and additional significant findings are discovered.","['media', 'business', 'NGOs', 'Strategic Communication', 'Disclosure', 'Information dissemination', 'Interactivity', 'Engagement', 'Advocacy']"
