url,year,course_title,language,college,lecturers_urls,lecturers,programmes,text
https://studiegids.universiteitleiden.nl/en/courses/28750,2011-2012,“I sat amidst the ruins”. Introductie tot de omgang met antieke bronnen,Dutch,Humanities,None,['Naerebout'],"['https://studiegids.universiteitleiden.nl/en/studies/1462/griekse-en-latijnse-taal-en-cultuur', 'https://studiegids.universiteitleiden.nl/en/studies/1424/history']","Toegangseisen
Niet van toepassing.
Beschrijving
In deze collegereeks staan de bronnen die specifiek zijn voor de oude geschiedenis, te weten de inscripties, de papyri en archeologische artefacten, inclusief de munten, centraal. Griekse en Latijnse literaire teksten komen zijdelings aan bod. De grondbeginselen van de wetenschappen die zich met de ontsluiting van deze bronnen bezighouden, met name epigrafiek, papyrologie, archeologie en numismatiek, komen aan de orde voorzover historici hier inzicht in moeten hebben teneinde zelfstandig de vereiste bronnenkritiek te kunnen uitoefenen.
 Het gaat in dit college om vaardigheden waar elke oud-historicus over dient te beschikken. Wie zijn of haar weg in de bronnen wil kunnen vinden en deze met vrucht zelfstandig wil kunnen toepassen, dient over enig inzicht in de genoemde wetenschappen te beschikken.
Leerdoelen
Na het volgen van deze collegereeks heeft men voldoende kennis van de grondbeginselen van epigrafiek, papyrologie, archeologie en numismatiek om kritisch met de voor de oude geschiedenis fundamentele bronnenpublicaties op genoemde gebieden om te kunnen gaan.
Rooster
Zie hier
Onderwijsvorm
Hoorcollege.
Toetsing
Door middel van een paper op basis van een individueel literatuuronderzoek.
Blackboard
Er is geen blackboard-ondersteuning; wel een eigen website.
Literatuur
Literatuuropgaven worden tijdens het college verstrekt.
Aanmelden
Zie aanmeldingsprocedure.
Contact
Email: Dhr Dr. F.G. Naerebout."
https://studiegids.universiteitleiden.nl/en/courses/53617,2015-2016,Academische Vorming 1,Dutch,Science,['https://www.universiteitleiden.nl/en/staffmembers/marjo-de-graauw'],"['Dr. J.J. Geerling', 'Dr. M. de Graauw']",['https://studiegids.universiteitleiden.nl/en/studies/4103/bio-pharmaceutical-sciences'],"Beschrijving
Tijdens de leerlijn Academische vorming 1 wordt een start gemaakt met de ontwikkeling van de student tot zelfstandig, nieuwsgierig en kritisch (geneesmiddel)onderzoeker. In deze leerlijn komt een breed spectrum aan vaardigheden aan bod gericht op het ontwerpen en uitvoeren van empirisch onderzoek. Denk daarbij aan zoeken en lezen van wetenschappelijke literatuur, formuleren van een onderzoeksvraag, ontwikkelen van een onderzoeksplan, uitvoeren van een onderzoek, het schrijven van een beknopt onderzoeksverslag en een (literatuur)samenvatting/abstract, het presenteren van een onderzoeksplan en/of onderzoeksresultaten, logisch redeneren en samenwerken. Verder zal tijdens dit vak aandacht besteed worden aan wetenschappelijke integriteit en het competentieprofiel van een (geneesmiddel)onderzoeker, onder andere aan de hand van (zelf)reflectie.
Coordinator
Mw. dr. M. de Graauw
 Mw. dr. J. Geerling
Doelgroep
BFW1
Toegangseisen
Niet van toepassing
Onderwijsvorm
Hoorcolleges, werkgroepen, gesprekken en probleem gestuurd onderwijs (PGO), studieopdrachten
Literatuur

Farmaceutisch Kompas via internet.
Wetenschappelijke literatuur uit vaktijdschriften te vinden via internet na instructie tijdens het vak.

Leerdoelen
Tijdens AV-1 leer je omgaan met wetenschappelijke literatuur, hoe je een onderzoek kunt voorbereiden, effectief samenwerken en jouw werk overbrengen aan anderen en werk van anderen evalueren met focus op:

zoeken en lezen van wetenschappelijke artikelen
omgaan met de empirische cyclus (hoe formuleer je een specifieke onderzoeksvraag, hoe zet je een onderzoek op, etc.)
wetenschappelijk schrijven
mondeling presenteren van wetenschappelijke informatie
geven, ontvangen en verwerken van feedback
reflectie op studieloopbaan en carrièreplanning

Toetsing
Actieve bijdrage, samenwerking, rapportage aan collega-onderzoekers, tussentijdse en eindpresentaties, schriftelijke verslaglegging."
https://studiegids.universiteitleiden.nl/en/courses/27032,2011-2012,Air transport competition law and policy,English,Law,None,"['Prof. Dr. Mendes de Leon, Mr. T. Soames (Brussels), Mr. G. Goeteyn (Brussels) and various guest lecturers']","['https://studiegids.universiteitleiden.nl/en/studies/1139/air-and-space-law-advanced-master-programme', 'https://studiegids.universiteitleiden.nl/en/studies/682/air-and-space-law-advanced-master-programme']","As air transport undertakings are increasingly privatised, corporatised or commercialised, the application of antitrust and competition laws takes on a special significance. This course focuses on EU competition and US antitrust law and policy, while taking into account Competition Law regimes in other parts of the world (pursuant to a comparative analysis and approach). Special attention will be given to attempts to harmonise the application of Competition Law and Policy between the various jurisdictions.
Coordinator
International Institute of Air and Space Law (IIASL)
 Law School, Leiden University
 Steenschuur 25, 2311 ES Leiden, Netherlands
 Postal address: P.O. Box 9520, 2300 RA Leiden, Netherlands
 Phone : +31 71 527 7671
 Fax: +31 71 527 7600
Website: www.iiasl.aero
 Contact: Wouter Oude Alink, w.m.oudealink@law.leidenuniv.nl
Methods of instruction
This course will consist of al limited number of lectures. In order to ascertain students’ knowledge and understanding, the lecturers actively encourage the students to orally present legislation and case law made in the jurisdiction of their choice. In the course practical they have to conduct research independently by examining various sources regarding the subject of their choice. The lecturers also encourage discussions regarding the differences of the EU and US practice in comparison with other jurisdictions.
Course materials
Syllabus and handouts
Examination

For face-to-face students, the course is assessed by means of an oral presentation and a written paper.
Blended learning students will follow the lectures and will then work on assignments to be submitted via internet. No exam is required if an average of 6 is obtained for the assignments.

Course requirements
Master degree in law
Application
Wouter Oude Alink at w.m.oudealink@law.leidenuniv.nl"
https://studiegids.universiteitleiden.nl/en/courses/83833,2018-2019,Academic Skills (Middle Eastern Studies),Dutch,Humanities,None,None,"['https://studiegids.universiteitleiden.nl/en/studies/6759/midden-oostenstudies-islamstudies', 'https://studiegids.universiteitleiden.nl/en/studies/6767/midden-oostenstudies-turks', 'https://studiegids.universiteitleiden.nl/en/studies/6757/middle-eastern-studies-arabic', 'https://studiegids.universiteitleiden.nl/en/studies/6763/middle-eastern-studies-modern-middle-eastern-studies', 'https://studiegids.universiteitleiden.nl/en/studies/6765/middle-eastern-studies-persian', 'https://studiegids.universiteitleiden.nl/en/studies/6761/middle-east-studies-israel-studies']","Toegangseisen
Geen.
Beschrijving
Een serie colleges over academische vaardigheden. De colleges zijn onderverdeeld in vier modules.

Studievaardigheden
Onderzoeksvaardigheden
Schriftelijke presentatievaardigheden
Mondelinge presentatievaardigheden.

De bijeenkomsten uit module: Studievaardigheden en module 2: Onderzoeksvaardigheden maken onderdeel uit van het Mentoraat MOS.
De bijeenkomsten uit de modules Mondelinge presentatievaardigheden en Schriftelijke presentatievaardigheden maken onderdeel uit van Seminar Midden-Oosten 1 in semester 2.
Leerdoelen
Leerdoelen module  Studievaardigheden
 Studenten:

hebben kennis van adequate studiemethoden en leerstrategieën;
hebben kennis van vaardigheden op het gebied van time management, studieplanning en -voorbereiding en tentamenstrategieën;
hebben kennis van de technieken van skimmen en snellezen.
kunnen op efficiënte wijze de belangrijkste elementen, ideeën en gedachten uit vakwetenschappelijke literatuur identificeren;
hebben kennis van de basistechnieken voor het onthouden en reproduceren van feiten en andere kennis.

Leerdoelen module  Onderzoeksvaardigheden
 Studenten:

kunnen een argumentatiestructuur in een betoog herkennen en gebruiken;
kunnen drogredenen herkennen en uitleggen;
zijn in staat vakliteratuur selecteren met behulp van digitale technieken (catalogus bibliotheek, Google Scholar, WorldCat, Web of Science);
kunnen bronnen (boeken, artikelen, websites) beoordelen op wetenschappelijke kwaliteit en betrouwbaarheid met gebruik van bibliothecaire databases en internet-tools;
hebben kennis van het begrip plagiaat en wetenschappelijke integriteit;
hebben inzicht in de verschillende vormen van plagiaat, de noodzaak van verwijzen en het voorkomen van onopzettelijk plagiaat;
zijn in staat op correcte wijze bronnen te gebruiken (citeren, parafraseren, samenvatten).

Leerdoelen module Schriftelijke presentatievaardigheden
 Studenten:

kunnen uitleggen hoe een goed afgebakende en beantwoordbare onderzoeksvraag (incl. deelvragen) geformuleerd kan worden;
weten hoe een academische tekst goed opgebouwd kan worden;
hebben kennis van de eisen die gesteld worden aan een academische (schrijf)stijl , met inbegrip van zinsbouw, de opbouw van een goede alinea;
hebben kennis van verschillende systemen voor verwijzen en zijn in staat de stijl die in hun discipline gangbaar is correct toe te passen;

Leerdoelen module Mondelinge presentatievaardigheden
Studenten:

hebben technieken verworven voor het houden van een mondelinge presentatie;
kunnen een helder en beargumenteerd betoog houden in een wetenschappelijke stijl, met optimaal gebruik van presentatietechnieken;
beschikken over goede spreek- en presentatietechnieken.

Rooster
Collegerooster
 Een volledig overzicht van de bijeenkomsten wordt op Blackboard geplaatst.
Onderwijsvorm
Werkcollege.
Voor werkcolleges geldt een aanwezigheidsverplichting. Studenten dienen actief en goed voorbereid  deel te nemen aan alle werkcolleges. Afwezigheid moet vooraf worden gemeld bij de docent (bijvoorbeeld door onvoorziene omstandigheden, zoals ziekte, familieomstandigheden, problemen met het spoor enz.).  In deze gevallen bepaalt de docent of, en zo ja hoe het gemiste college door een vervangende opdracht kan worden ingehaald. Er mogen maximaal twee colleges worden gemist. Afwezigheid zonder kennisgeving en/of meer dan twee keer kan leiden tot uitsluiting van de tentamen(s) en toekenning van een onvoldoende voor de cursus.
Studielast

Bijwonen colleges module Studievaardigheden: 6uur
(onderdeel van Mentoraat MOS)
Bijwonen colleges module: Onderzoeksvaardigheden: 6 uur
(onderdeel van Mentoraat MOS)
Bijwonen colleges module  Schriftelijke presentatievaardigheden: 6 uur
(onderdeel van cursus Seminar Midden-Oosten 1)
Bijwonen colleges module Schriftelijke presentatievaardigheden: 6 uur
(onderdeel van cursus Seminar Midden-Oosten 1)

De studielasturen worden berekend bij de vakken waaraan de colleges Academische vaardigheden gekoppeld zijn.
Toetsing
De academische vaardigheden komen aan bod binnen de genoemde cursussen uit het eerste jaar en worden op die manier getoetst.
Blackboard
Blackboard wordt gebruikt voor de berichtgeving, algemene cursusinformatie, cursusmateriaal en uitgebreide roosterinformatie.
Literatuur
Het benodigde materiaal wordt op college uitgedeeld of op Blackboard geplaatst.
Aanmelden
Voor het onderdeel Academische Vaardigheden is aanmelding via uSis niet nodig; wel noodzakelijk is aanmelding voor de Blackboardcursus Academische Vaardigheden Midden-Oostenstudies.
Aanmelden Studeren à la carte en Contractonderwijs
N.v.t.
Contact
Opmerkingen
N.v.t."
https://studiegids.universiteitleiden.nl/en/courses/55337,2015-2016,Academisch Ondernemen,Dutch,Honours Academy,['https://www.universiteitleiden.nl/en/staffmembers/ivo-de-nooijer'],"['Ir. S.P. Louwaars', 'Prof.dr. J.W. Kijne', 'Mr.drs. I.W.A. de Nooijer', 'Dr. H. Jousma', 'drs. Ir. M. van der Meij', 'dr. Ir. F. Merx']",['https://studiegids.universiteitleiden.nl/en/studies/8027/honours-classes'],"This information is only available in Dutch.
Inschrijven voor dit vak kan tot 27 januari 2016, via de link bij ‘registratie’.
Beschrijving
Vertaal je bachelor-onderzoek naar een onderzoeksvoorstel waarbij academische en maatschappelijke belangen in worden vertegenwoordigd, en leer zo waar je je allemaal rekening mee moet houden als succesvol wetenschapper. Docenten komen van binnen en buiten de universiteit; ieder college bestaat uit een theoretisch deel, en een praktijkdeel.
In deze Honours Class komen de verschillende aspecten van het wetenschappelijk ‘bedrijf’ aan de orde. Je gaat zelf aan de hand van de vraagstelling voor je bachelorscriptie actief aan de slag. Als wetenschapper communiceer je met veel uiteenlopende groepen: mede-wetenschappers, maar ook ‘het brede publiek’: je wilt hen informeren over jouw onderzoeksresultaten, en het is belangrijk dat je duidelijk maakt waarom jouw onderzoek belangrijk is. Verschillende vaardigheden zijn dan van belang: schrijven, presenteren, omgaan met ‘de media’ etc. Met sommige van deze vaardigheden zul je kennis maken in een (gast)college, met andere, zoals schrijven, ga je zelf aan de slag.
 Om onderzoek te doen, is geld nodig en de hedendaagse wetenschapper moet daarom ook ‘academisch ondernemerschap’ ontwikkelen: subsidies aanvragen en budgetteren zijn daarbij belangrijk.
Programma
Dinsdag 1 maart 2016, 17.00-20.00 uur, zaal Living Lab
 College 1: wetenschappelijk onderzoek en bachelorscriptie
 In dit college ligt de focus bij de verschillende manieren van onderzoek doen/ kennis vergaren in diverse wetenschappelijke domeinen zoals de natuurwetenschappenen de sociale wetenschappen. Ook inter- en transdisciplinair onderzoek komt aan de orde: bij deze laatste vorm van onderzoek wordt kennis ontwikkeld in de context waarin de nieuwe kennis vervolgens wordt toegepast.
 Docent: Emeritus Professor Jan Kijne
Dinsdag 8 maart 2016, 17.00-20.00 uur, zaal Living Lab
 College 2: hoe communiceer je over ‘kenniskapitaal’
 Met de wellicht wat vage term ‘kenniskapitaal’ wordt bedoeld de waardering door de externe wetenschappelijke wereld van de kennis die binnen universiteit en onderzoeksgroep waarin je werkt is gegenereerd. Bewezen kwaliteit vormt als het ware de basis voor het vertrouwen dat toekomstig onderzoek zal worden uitgevoerd in een kwalitatief goede context. Dit ‘verdiend vertrouwen’ speelt een belangrijke rol bij de beoordeling van aanvragen voor subsidie. Er zijn verschillende methoden om wetenschappelijke kwaliteit te meten.
 Docent : drs. ir. Marjoleine van der Meij – FALW Athena Institute
Dinsdag 15 maart 2016, 17.00-21.00 uur, zaal Living Lab
 College 3 (seminar van 4 uur): presentaties van vraagstellingen aan elkaar
 In twee sessies worden de vraagstellingen voor de BA-scripties van de deelnemende studenten door hen gepresenteerd en besproken, mede aan de hand van de verkregen kennis uit college 1 en 2.
 Docent: Ir. S. P. Louwaars
Dinsdag 22 maart 2016, 17.00-20.00 uur, zaal Living Lab
 College 4: Hoe kom je als onderzoeker aan geld om onderzoek te doen?
 Wetenschappers besteden een (fors) deel van hun tijd aan het schrijven van onderzoeksvoorstellen en subsidieaanvragen met het doel financiële middelen te vinden voor de uitvoering van hun onderzoek. Waarop moet je letten als je dit soort aanvragen schrijft? Wat zijn de verschillen tussen diverse subsidieverstrekkers, zoals NWO (Nederlandse Organisatie voor Wetenschappelijk Onderzoek), de Europese Unie of een bedrijf?
 Docent: drs. Ivo de Nooijer
Dinsdag 29 Maart 2016, 17.00-20.00 uur, zaal Living Lab
 College 5: Hoe creëer je maatschappelijke relevantie
 Om onderzoek te doen, is geld nodig en de hedendaagse wetenschapper moet daarom ook ‘academisch ondernemerschap’ ontwikkelen. Steeds vaker is co-financiering door maatschappelijke partijen (overheden, bedrijfsleven, maatschappelijke organisaties) een vereiste om onderzoeksubsidies te verkrijgen. Dat betekent dat onderzoekers potentiële kennisgebruikers moeten overtuigen mee te financieren aan onderzoek
 Docent: dr. Ir. Femke Merx
Dinsdag 5 april 2016, 17.00-20.00 uur, zaal Living Lab
 College 6: wetenschap en bedrijf
 Alvast oefenen in de boardroom en start ups door spannende tijden loodsen. Tijdens dit college krijgen studenten een inkijk in de kunst van het ondernemen. Op een informele, soms confronterend, open en toegankelijk wijze helpt hij studenten bij het maken van keuzes die gericht zijn op toekomstmogelijkheden buiten het wetenschappelijk onderzoek
 Docent: dr. Harmen Jousma
Dinsdag 12 april 2016, 17.00-20.00 uur, zaal Living Lab
 College 7: Tijdens dit college gaan studenten samen aan de slag met de vraag: “hoe kunnen we de universiteit ondernemender maken”. De voorbereidingen en basis die tijdens dit college wordt gelegd, vormt de basis voor de actieve en interactieve sessie die op dinsdag 21 april gegeven zal worden.
 Docent: Ir. S. P. Louwaars, center for Innovation/ Living Lab.
Dinsdag 19 april 2016, 17.00-20.00 uur, zaal Living Lab
 College 8: Het laatste college van deze Honours Class wordt ingevuld door het Center for Innovation, studenten zijn gevraagd om de universiteit ondernemender te maken. Hier gaat de groep zelf een invulling aan geven. Daarnaast zullen we dit laatste college ook gebruiken voor een terugblik/ evaluatie.
 Docent: Ir. S. P. Louwaars, center for Innovation/ Living Lab.
Periode
Dinsdag 1, 8, 15, 22, 29 maart, 5, 12, 19 april – 17:00 – 20:00 uur
Locatie
Campus Den Haag, zaal Living Lab
Beoordelingsmethode
Essay
Maximaal aantal studenten
25
Registratie
Meld je voor 27 januari aan via deze link .
Contact
Ir. Sjoerd Louwaars"
https://studiegids.universiteitleiden.nl/en/courses/32562,2012-2013,Academic Skills 3,Dutch,Social and Behavioural Sciences,"['https://www.universiteitleiden.nl/en/staffmembers/jan-jansen', 'https://www.universiteitleiden.nl/en/staffmembers/ratna-saptari-soetikno-slamet', 'https://www.universiteitleiden.nl/en/staffmembers/lea-zuyderhoudt']","['Dr. J.A.M.M. Jansen', 'Dr. R. Saptari Soetikno Slamet', 'Drs. L.M. Zuyderhoudt MA', 'R.J. Kok MA', 'Dr. J.H.J. Florusbosch', 'C. Rippe']",['https://studiegids.universiteitleiden.nl/en/studies/2002/cultural-anthropology-and-development-sociology'],"This course is only taught in Dutch, so please see the Dutch-version of the course prospectus."
https://studiegids.universiteitleiden.nl/en/courses/26840,2010-2011,Algebra 1,Dutch,Science,None,['Dr. R.M. van Luijk'],['https://studiegids.universiteitleiden.nl/en/studies/999/wiskunde'],"In dit eerste college uit de algebracyclus wordt een aantal onderwerpen uit de Caleidoscoop, zoals gehele getallen, permutaties, symmetriegroepen en restklassen, geabstraheerd en geünificeerd in het begrip ""groep"". Er wordt aandacht geschonken aan toepassingen in de combinatoriek, de vlakke meetkunde, de getaltheorie en de cryptografie.
Behandeld worden: permutaties, vlakke symmetrieën, groepshomomorfismen,
 groepswerkingen, rekenen modulo n, het RSA-cryptosysteem, producten
 en quotiënten van groepen, abelse groepen, Sylowondergroepen.
Werkvorm
 2 uur hoorcollege + 2 uur werkcollege
Tentaminering
 Schriftelijk tentamen plus opdrachten
Literatuur
 syllabus Algebra 1 van P. Stevenhagen
Code TUD
 WI1603
Links
Homepage"
https://studiegids.universiteitleiden.nl/en/courses/68293,2017-2018,Actors in World Politics,English,Social and Behavioural Sciences,['https://www.universiteitleiden.nl/en/staffmembers/francesco-ragazzi'],['Dr. F.P.S.M. Ragazzi'],['https://studiegids.universiteitleiden.nl/en/studies/5255/political-science-international-relations-and-organisations-the-hague'],"Admission requirements
No Admission Requirements
Description
This course introduces students to the study of actors in international relations. Mainstream approaches to international politics have theorized the international as a space composed essentially of states. While addressing the central question of state formation and domination in world politics, this course will give the keys to understand the complexity and diversity of the contemporary international, composed among others, of NGOs, diasporas, pirates, mercenaries, transnational hacktivist and terrorist networks. It will conclude by assessing the possibilities and limits of a cosmopolitan society.
Course objectives
Concise description of the course objectives formulated in terms of knowledge, insight and skills students will have acquired at the end of the course. The relationship between these objectives and achievement levels for the programme should be evident.
At the end of this course, students will posess analytical and critical skills to make sense of state and non-state actors in world politics.
Timetable
Schedule
Mode of instruction
Lecture
Course Load

Attending lectures: 4h x 7 weeks = 28h
Readings for the course: 6h x 7 weeks = 42h

Assessment method
Final exam with multiple choice
First opportunity for written exam: Monday 18 December 2017, 09:00-12:00
Second opportunity for written exam: Friday 26 January 2018, 09:00-12:00
Reading list
TBA
Registration
See Introduction page.
Contact
f.ragazzi@fsw.leidenuniv.nl"
https://studiegids.universiteitleiden.nl/en/courses/101876,2020-2021,Advanced Mandarin: Listening & Speaking 2,Chinese,Humanities,None,['Y. Wang'],"['https://studiegids.universiteitleiden.nl/en/studies/8253/asian-studies-60-ec-east-asian-studies', 'https://studiegids.universiteitleiden.nl/en/studies/8248/asian-studies-research']","Admission requirements
Students admitted to MA Asian Studies (120EC): Chinese Studies and Asian Studies (60 EC): East Asian Studies tracks. The course is taught in Chinese. All students must meet one of the following minimum level of Chinese language proficiency requirements: CEFR level B1, which is roughly equivalent to new HSK 4 (with a test result of minimally 250 points) and TOCFL level 3. This course is designed based on the BA Mandarin program of Chinese Studies at Leiden University, where undergraduates receive approximately 300 contact hours and a 10-week intensive Mandarin training in a Mandarin speaking area (amounting to 60 ec in total). Students are required to be able to read both traditional and simplified characters and to write either of them by hand.
Description
This course is a continuation of “Modern Chinese Listening & Speaking 1”.
The course is designed for the students who can understand a wide variety of subjects in Chinese but find it challenging to understand and speak Chinese in official or formal situations, such as news, TV programs, formal speeches, talks on specific academic topics.
In order to help students develop their listening and speaking skills in their academic fields of study, the selection of course materials is based on students’ academic interests, such as Chinese culture & society, economy, history, and politics. No textbook is used for this course; all materials are selected from a wide range of online resources (TV programs, online news websites, podcasts and so on).
The course includes three components: assignments, class activities, and oral presentations. Students are required to give oral presentations related to their research interests.
Course objectives

Help to improve students’ listening and speaking skills by working with authentic audio/video materials.
Help MA students currently at an advanced-mid level to improve their speaking skills through group discussion and giving oral presentations, with special attention to accuracy, fluency, vocabulary and familiarity with IT resources.
Expected learning outcomes:
Listening: can understand spoken Chinese with/without accents, including topics relating to their academic interests; ability to understand formal and informal Chinese without too much effort; can infer the meanings from the context when encountering new words.
Speaking: can describe concrete as well as abstract ideas with advanced vocabulary and language structures, and ability to do oral presentations in their research field, with special attention to fluency and accuracy.

Timetable
Visit MyTimetable.
Mode of instruction
Seminar
Assessment method

Assignments 20%
Class activities and oral presentations 20%
Final exam 60%
The re-sit exam for the final exam is only available to students whose mark of the final exam is insufficient. The re-sit exam will then make up 100% of the mark.

Reading list
Class materials will be distributed via Brightspace during the term.
Registration
Enrolment through uSis is mandatory.
General information about uSis is available in English and Dutch
Contact
Mrs. Ying-Ting Wang MA
Remarks"
https://studiegids.universiteitleiden.nl/en/courses/108876,2021-2022,Academic Writing and (Re) Presentation,None,Social and Behavioural Sciences,"['https://www.universiteitleiden.nl/en/staffmembers/jan-jansen', 'https://www.universiteitleiden.nl/en/staffmembers/elsa-charlety']","['Dr. J.A.M.M. Jansen', 'E.C. Charlety']","['https://studiegids.universiteitleiden.nl/en/studies/8788/cultural-anthropology-and-development-sociology', 'https://studiegids.universiteitleiden.nl/en/studies/8830/cultural-anthropology-and-development-sociology']","Admission Requirements
The course, ‘Academic Writing and Representation’ is Part I of three courses in Academic Skills that are part of the first year of the CADS bachelor’s programme. Admission to the course is restricted to students who are either enrolled in the CADS bachelor’s programme or have been assigned to the course from a premaster’s programme.
Language of Instruction
Lectures are given in English. Tests are in English or Dutch (optional).
Assignments may be written in English or Dutch (optional).
Course Objectives

Understand academic sources as both presentation and representation of the academic standards of their discipline.
Identify a wide range of academic texts (journal articles, reviews, edited volumes, monographs) and engage with them on an analytical level.
Gain awareness of the rules and stakes of academic publications (plagiarism, fraud, style guide, publication formats).
Gain theoretical understanding of academic discourse
Perform basic tasks of academic research (library search, organization of sources, referencing)

Schedule
See our website
Mode of Instruction
A total of 5 ECTS = 140 sbu (study hours):

lectures 15 × 2 hours = 45 sbu
library practical, including preparation = 5 sbu
written assignments 3,000 words = 40 sbu
additional time for reading literature = 50 sbu

Assessment Method

written assignments
tests (library skills, awareness of fraud, awareness of authenticity)

Only the final mark is registered in uSis. The final pass mark is 6,0 and higher; 5,0 or lower is deemed inadequate. Final marks between 5,0 and 6,0 are never awarded.
Lectures form an integral part of the course, which means there will be assignment questions on the lectures and test instructions in the lectures.
Registration in uSis
All students will be registered for the lectures by the Student Services Centre (SSC).
Registration for examinations isn’t necessary for this course, as the course is assessed by a set of assignments.
Brightspace
Brightspace is the digital learning environment of Leiden University. Brightspace gives access to course announcements and electronic study material. Assignments will also be submitted in Brightspace. Announcements about and changes to courses are published in Brightspace. Students are advised to check Brightspace daily to remain informed about rooms, schedules, deadlines, and details of assignments. Lecturers assume that all students read information posted on Brightspace.
- How to login:
The homepage for Brightspace is: Brightspace
Please log in with your ULCN-account and personal password. On the left you will see an overview of My Courses.
For access to your courses in Brightspace you must be registered in uSis for those courses.
Course Literature
Desmond, Matthew  2016       Evicted – Poverty and Profit in the American City.   Harmondsworth: Penguin   Books Ltd.
Goffman, Erving  1990 [1959]    The Presentation of Self in Everyday Life. Harmondsworth: Penguin  Books  Ltd.
Moderbacher, Christine  2018     Hamuda, the Wood and I. Etnofoor  30(1): 77-96 (text available as PDF in Brightspace, with kind permission of the editors of Etnofoor).
Van Wolputte, Steven  2018  Desire Paths. Etnofoor 30(1): 97-108 (text available as PDF in Brightspace, with kind permission of the editors of Etnofoor).
Contact
Dr. Jan Jansen
E.C. Charlety"
