title,author,supervisors,date,faculty,program,type,language,abstract,keywords
"‘De jeugd wordt steeds dikker’: Het verband tussen ouderlijk gedrag tijdens de maaltijd, het eetgedrag van het kind en de ontwikkeling hiervan in het eerste levensjaar","Haagen, Karlijn van","['Zandvliet, R.', 'Vliet, M.S. van']",2019,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,nl,,
"Precarious Ecologies, Endurance, Adaptation; An ethnographic case study of the Walgett Shire farming communities’ experiences of drought","Behan, Jardi","['Westmoreland, Mark', 'Bähre, Erik']",2019,Faculty of Social & Behavioural Sciences,Cultural Anthropology and Development Sociology (MSc),Master thesis,en,,
De effecten van subtiele oogsignalen met betrekking tot vertrouwen en geslacht,"Monteiro Semedo, Eveline","['Wehebrink, K.', 'Sjoerds, Z.']",2019,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
Spinoza and ethically justified use of state secrecy,"Olierhoek, Alex","['Cauter, J.M. Van', 'Nieuwenburg, P.']",2019,Faculty of Social & Behavioural Sciences,Political Science (MSc),Master thesis,en,,
Guiding solidarity; An ethnography of the narratives of Palestinian tourism workers in the West Bank,"Spikes, Lenneke","['Westmoreland, Mark', 'Septari, Ratna']",2019,Faculty of Social & Behavioural Sciences,Cultural Anthropology and Development Sociology (MSc),Master thesis,en,,
When being nice pays off: Exploring the impact of supportive and demanding others to counteract the detrimental effect of financial stress on cognitive function.,"Aviantari, Azzikra","['Ruigendijk, Hester', 'Dijk, Wilco van']",2019,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
Might striving for the best lead to decision aversion?,"Wit, J.P.L. de","['Putten, M. van', 'Boezeman, E.J.']",2019,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
The effects of frontal theta/beta-ratio on instructed emotion regulation,"Hiralal, Kamil R.","['Putman, P.', 'Rover, M. de']",2019,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,"Background: Emotion regulation is part of our everyday executive functioning. Mood disorders such as bipolar disorder or depression are associated with dysfunctional emotion regulation. A physiological measure of emotion regulation is heart rate (HR). People tend to show HR decrease to emotional stimuli, this is called bradycardia. Frontal-Theta/Beta-ratio (TBR) has shown to be a potential biomarker for multiple executive functions. In most frontal-TBR studies, a reversed correlation between frontal-TBR and level of executive functioning is found. Objective: The current study investigated if frontal-TBR plays a moderating role for emotion regulation of negative and positive stimuli. It was expected that low frontal-TBR would correlate with less fear-bradycardia and that low frontal-TBR would lead to better regulation of negative and positive stimuli. Methods: An emotion regulation task was used to induce physiological responses in participants. Participants (n=56) viewed 40 negative, 40 neutral and 40 positive pictures and were asked to attend or upregulate their emotional affect. Their physiological response was measured using ECG. Frontal-TBR was measured using EEG. Results: Against the hypotheses, results showed no moderating role for frontal-TBR on physiological reaction to positive or negative stimuli. There was a weaker fear-bradycardia than expected and no positive-bradycardia was found. Discussion: The absence of strong bradycardia in our sample blocks possibilities for a moderating role of frontal-TBR on emotion regulation. The results can be due to factors such as data collection method, stimuli selection or male/female distribution. Future studies should focus on replicating the frontal-TBR effects on emotion regulation of negative stimuli.",
"Taal en perceptie: De invloed van combinatorische vs. non-combinatorische labels op perceptuee herkenning, een vervolgstudie.","Thurkow, Gabrielle","['Poletiek, F.', 'Kleijn, R. de']",2019,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
‘Mijn kind lust niets’: Een onderzoek naar factoren die verband houden met moeilijk eetgedrag bij kinderen in het eerste levensjaar,"Stel, Richelle","['Vliet, Merel van', 'Bruïne, Amy de']",2019,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,nl,,
Kun je een negatieve stemming repareren? Een onderzoek naar hedonische affectregulatie,"Vegter, Rosa","['Steenbergen, H. van', 'Wehebrink, K.S.']",2019,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
Social anxiety in children and adolescents – interaction between social support from peers and personality,"Immerzeel, Monique","['Bokhorst, C.L.', 'Boelens, H.H.']",2019,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
