title,author,supervisors,date,faculty,program,type,language,abstract,keywords
"Patient-centered communication, healthcare satisfaction and psychosocial adjustment of parents in pediatric oncology: Part of the CONTACT study at the Prinses Máxima Center","Oorschot, Mieke","['Dr. S. Schepers', 'PhD. P. Buursma', 'Dr. L. van Vliet']",2025,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
De wensen en behoeften van ouders bij het lezen van een verslag over assessment bij leerproblemen.,"Schoutsen, Mille","['Veerbeek, J']",2024,Faculty of Social & Behavioural Sciences,Pedagogische wetenschappen (BSc),Bachelor thesis,nl,,
U.S. Strategic Influence and the Great Power Rivalry in Africa: The Case of Nigeria,"Röer, Henri","['Demarest, Leila', 'Meijerink, Frits']",2023,Faculty of Social & Behavioural Sciences,Politicologie (BSc),Bachelor thesis,en,,"['U.S. strategic influence', 'Nigeria', 'China', 'great power rivalry', 'U.S. influence']"
THE IMPACT OF METNAL ACCOUNTS ON PLEASURE PERCEPTION,"Kang, Hanyue",['Leon Hilbert'],2023,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
U.S. Strategic Influence and the Great Power Rivalry in Africa: The Case of Nigeria,"Röer, Henri","['Demarest, Leila', 'Meijerink, Frits']",2023,Faculty of Social & Behavioural Sciences,Politicologie (BSc),Bachelor thesis,en,,"['U.S. strategic influence', 'Nigeria', 'China', 'great power rivalry', 'U.S. influence']"
Het indirecte effect van gedifferentieerde instructie op taakmotivatie via zelfeffectiviteit bij kinderen van basisschoolleeftijd,"Bron, Linde",['Prof. dr. E. Denessen'],2022,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,nl,,
The Influence of Leaders on the Outcome of Self-determination Movements: A Case Study of the Basque Country,"Bonifas, Maite","['Vergerio, C.', 'Fliervoet, F.']",2021,Faculty of Social & Behavioural Sciences,Politicologie (BSc),Bachelor thesis,en,,
De samenhang tussen differentiatie en de competentiebeleving van basisschoolleerlingen:,"Baljeu, Jelmer","['Paridon, Y. van', 'Prast, E.']",2021,Faculty of Social & Behavioural Sciences,Pedagogische wetenschappen (BSc),Bachelor thesis,nl,,
Verschillen tussen netwerk- en bestandspleegouders in ouderlijke sensitiviteit en de samenhang met internaliserende en externaliserende gedragingen van pleegkinderen,"Kimmel, Robyn","['Asdonk, S. van der', 'Vermeer, H.']",2020,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,nl,,
Hoe financiële schaarste cognitieve prestaties beïnvloedt,"Rshaart, Aumaj","['Ruigendijk, H', 'Weiden, A. van der']",2020,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,"Whereas financial scarcity has mostly been measured through objective indicators in the past, more recent research provides implications that subjective indicators might be of value in explaining scarcity effects as well. The current study is a replication of previous research on the effects of financial scarcity on cognitive performance, to examine the role of subjective scarcity. Subjective scarcity is measured through the Personal Inventory of Financial Scarcity (PIFS), objective scarcity through effective household income, and cognitive performance through the Hearts & Flowers (HF) task. Our results, however, do not support relationships between subjective scarcity and cognitive performance, nor between objective scarcity and cognitive performance. This could be accounted to ceiling effects and a lack of control on the HF task, as well as to potential shortcomings in the PIFS as predictor of subjective scarcity. Nonetheless, we deem subjective scarcity as a potential valuable predictor of financial stress, and thus recommend further research on the concept.",
PAN RECORDS: A digital journey through the ethnic music niche,"Pavlović, Théo","['Bart Barendregt', 'Mark Westmoreland']",2020,Faculty of Social & Behavioural Sciences,Cultural Anthropology and Development Sociology (MSc),Master thesis,en,,
Big Pupils - Big Money: How Pupil Size can affect Donation Behavior,"Gerlach, Maxine","['Tan, J.', 'Diana, F.']",2020,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
"Pupil Mimicry of Humans, Dogs, and Bonobos","Wesseling, Alex","['Kret, M.', 'Jaasma, L.']",2020,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,"Mimicry of subtle facial and bodily cues is an important part of social communication, as it allows for emotional contagion and affective empathy to occur. Mimicry of pupil size has been found to occur between humans during eye-contact. In the current study we investigated whether people also mimic pupil size of bonobos (pan paniscus) and dogs (canis familiaris) as well that of humans. We predicted that humans are able to mimic pupil sizes of bonobos because bonobos are closely related to humans and because they have similar facial musculature and expressions. We also predicted that humans would show pupil mimicry towards stimuli of dogs, because these two species have co-evolved to communicate with each other and are therefore sensitive to social cues of the other species. In addition, this study aims to investigate whether humans display greater mimicry towards dogs or bonobos, and whether dog ownership or affinity with dogs enhanced pupil mimicry in the dog condition. Pupil-size data of 50 human participants was extracted while they were presented with 4-second videos of human, dog, or bonobo eyes with either constricting or dilating pupils. We conclude that pupil mimicry was found in all conditions and thus that humans can mimic pupil sizes of other humans as well as dogs and bonobos. Participants showed overall greater pupil size in the human condition compared to the bonobo condition, but no other pupil size differences were found, nor did we observe differences in pupil mimicry between the species conditions. We did not observe an effect of dog ownership or affinity with dogs on pupil mimicry in the dog condition. Human pupil mimicry of dogs and bonobos was likely facilitated by their close interspecies bond and facial similarity, respectively.",
"A civilisational approach to democratic transition theory: Chosen neighbours, black knights and competitive authoritarianism","Bolt, Vijay","['Oversloot, J.', 'Nieuwenburg, P.']",2020,Faculty of Social & Behavioural Sciences,Politicologie (BSc),Bachelor thesis,nl,,
Moreel overtuigen of rechterlijk vervolgen? De verschillende strategieën van SIDS omtrent klimaatbestrijding,"Wijk, Tom van","['Veenendaal, W.', 'Biezen, I. van']",2020,Faculty of Social & Behavioural Sciences,Politicologie (BSc),Bachelor thesis,nl,,
The role of personality traits on the onset of anxiety disorders among adult survivors of childhood trauma,"Zwamborn, Y.L.","['Lee, J.', 'Witlox, M.']",2019,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
Neuroanatomical gender differences in Alzheimer's disease,"Zundert, T. van","['Schuitema, I.', 'Habers, G.E.A.']",2019,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,"['gender differences', ""Alzheimer's disease""]"
Weerstand tegen Ebola; onwetendheid of machtsverschillen?,"Halverhout, E.B.","['Samuels, Annemarie', 'Saptari, Ratna']",2019,Faculty of Social & Behavioural Sciences,Cultural Anthropology and Development Sociology (BSc),Bachelor thesis,nl,,
Een onderzoek naar de ontwikkeling van reactieve en proactieve inhibitie bij kinderenvan zeven tot twaalf jaar,"Sevinga, E.K.","['Schel, M.A.', 'Leijenhorst, Linda van']",2018,Faculty of Social & Behavioural Sciences,Pedagogische wetenschappen (BSc),Bachelor thesis,nl,,
Stability of subject preference and associated domain-specific autonomous motivation in early adolescence,"Vaassen, Anita","['Wijsman, L.A.', 'Westenberg, P.M.']",2018,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
Informal transparency in oil-dependent states: The key to credible commitment for sustainable economic development,"Müller, Marius","['Nem Singh, J.', 'Meijerink, F.G.J.']",2018,Faculty of Social & Behavioural Sciences,Political Science (MSc),Master thesis,en,,
Do individuals with an evening chronotype focus more on negative cues,"Petsi, Katerina","['Antypa, N.', 'Angelidis, A.']",2018,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,"['eveningness', 'cognition', 'emotion', 'depression']"
Punishing in social dilemmas: The impact of property distribution versus decision framing,"Minic, Daria","['Molenmaker, W.E.', 'Lelieveld, G.']",2017,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,"['Punishment', 'Social dilemmas', 'Property distribution', 'Framing']"
De invloed van individuele verschillen in emotieregulatie op het effect van emotie op cognitieve controle,"Adrichem, Ted","['Steenbergen, H. van', 'Steenbergen, L.']",2017,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
Welke leesinterventies werken? Een meta-analyse van de effectiviteit van verschillende soorten leesfeedback per leeftijdsgroep,"Brouwer, Edwin","['Swart, E.K.', 'Ton, M.G.']",2017,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,nl,,
"Staan het DRD4-genotype, leesvaardigheid en aandacht in verband met leesmotivatie","Hubregtse, Marjolein","['Swart, E.K.', 'Chung, S.']",2017,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,nl,,
How verbal suggestions affect loudness judgments: Roles of expectations and demand characteristics,"Reppmann, Zala C.","['Jepma, M.', 'Kleijn, R.E. de']",2017,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
Variety-seeking in a life or death situation: The effects of existential salience and self-esteem on variety-seeking behavior,"Eijk, Alissa van","['Marguc, J.', 'Boezeman, E.J.']",2017,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
Differences in stress and problem behaviour between adolescents with a mentally or physically ill parent,"Wensveen, Lieke van","['Sieh, D.S.', 'Ly, V.']",2017,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,"['differences', 'parental', 'physical', 'mental', 'illness']"
The effect of the transition t kindergarten on prosocial behavior in children,"Haarbosch, D.Q.M.","['Bulk, B.G. van den', 'Meulen, M. van der']",2017,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,"['Transition kindergarten', 'Prosocial behavior', 'Children']"
Relationship between perspective taking and social learning in adolescence,"Jacobs, M.E.","['Westhoff, B.', 'Duijvenvoorde, A.C.K. van']",2017,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
