url,year,course_title,language,college,lecturers_urls,lecturers,programmes,text
https://osiris-student.uu.nl/student/osiris/owc/cursussen/174376,2016, Researching Intersectionally II,English,Faculty of Humanities,,['dr. C.L. Quinan'],,"Course goals
<html>
	<head>
<meta http-equiv=""content-type"" content=""text/html; charset=utf-8"" /><style type=""text/css"">body { font-size: 9pt; font-family: Arial } table { font-size: 9pt; font-family: Arial }</style></head>
	<body>
		After completing this course, the student:<br />
		A) is able to conduct academic research in the field of Gender and/or Postcolonial Studies&nbsp;<br />
		B) has finalized a research question that will be taken up in the second year of the study programme<br />
		C) has learned how to write an academic research proposal<br />
		D) has been familiarized with academic conventions for the research and writing of a substantive project (i.e., RMA thesis).
		<style type=""text/css"">
body { font-size: 9pt;		</style>
	</body>
</html>

Content
<html>
	<head>
<meta http-equiv=""content-type"" content=""text/html; charset=utf-8"" /><style type=""text/css"">body { font-size: 9pt; font-family: Arial } table { font-size: 9pt; font-family: Arial }</style></head>
	<body>
		This research seminar has the aim of (1) building a student body that engages in a dialogical way with the study curriculum and individual research interests, and (2) forming research projects for students to pursue in year 2 of the study trajectory. The seminar offers a research environment in which students can refine their research topic, with special emphasis placed on epistemological questions, methodological issues, and theoretical perspectives. Whereas in Researching Intersectionally I emphasis is placed on exploring possible research interests, in this course the primary focus is on the development of an individual research project and on learning how to write a comprehensive thesis proposal. Throughout this process, students will slowly narrow down broad research interests into a coherent research project. This seminar also serves as a productive discussion space in which students can connect with one another on academic issues or challenges and also meet with alumni.<br />
		<br />
		<strong>Career orientation:</strong><br />
		The seminar trains students in writing a research proposal that shows sophisticated methodological grounding and socio-political relevance. This training helps students in their future careers by learning to communicate their research projects in academic and non-academic contexts and to increase the societal significance of their research. The seminar will also organise a workshop with alumni of the RMA program and will thereby enable networking for future professional possibilities.</body>
</html>

"
https://osiris-student.uu.nl/student/osiris/owc/cursussen/171873,2016,"""Seeing Like a State"": The Invention of Statistics and the Making of Modernity",Dutch,Faculty of Humanities,,['dr. R.A. Krol'],,"Course goals
<html>
<head>
<meta http-equiv=""content-type"" content=""text/html; charset=utf-8"" /><style type=""text/css"">body { font-size: 9pt; font-family: Arial } table { font-size: 9pt; font-family: Arial }</style></head>
<body><strong>Learning outcomes:&nbsp;</strong>after completing the course, students will have:
<ul>
	<li>knowledge and understanding of historical developments related to the course topic;</li>
	<li>knowledge of the historiographical tradition within the course topic;</li>
	<li>familiarity with the diverse ways in which historical knowledge of the course topic can be relevant to their own job market prospects;</li>
	<li>a skill set enabling them to think, act and communicate at an academic level and in line with academic standards of conduct ('academic integrity').</li>
</ul>
&nbsp;<br />
<strong>Learning objectives and skills:&nbsp;</strong>after completing the course, students will be able to:

<ul>
	<li>explore a broad historical or historiographical topic in depth;</li>
	<li>critically evaluate diverging interpretations and formulate their own viewpoint;</li>
	<li>present a well-formulated discourse analysis both orally and in writing;</li>
	<li>collaborate with fellow students on a group presentation;</li>
	<li>link knowledge of historical thinking on the course topic to their own job market prospects;</li>
	<li>connect historical knowledge of the course topic to modern-day social and political issues­;</li>
	<li>work in conformity with academic standards.</li>
</ul>
</body>
</html>

Content
<html>
<head>
<meta http-equiv=""content-type"" content=""text/html; charset=utf-8"" /><style type=""text/css"">body { font-size: 9pt; font-family: Arial } table { font-size: 9pt; font-family: Arial }</style></head>
<body><strong>About this course</strong><br />
In this course, the role of statistics - as a specific instrument for the analysis and description of reality - for the making and shaping of the modern world will be discussed. This is not a course about statistics as such - in the sense of studying figures and graphs - but about the causes and implications of the invention and use of statistics: We will look at people looking at statistics, as it were, rather than at statistics as such. In concrete terms, we will focus on the first invention of statistics in late 17<sup>th</sup>-century England, on the development of medical, insurance and theological statistics, on the first uses of statistics in politics in the second half of the 18<sup>th</sup> century, and finally at the institutionalisation of official statistics, as well as its internationalisation, in the 19<sup>th</sup> century. All along, we will ask ourselves how the use of statistics changed and shaped people's perceptions towards a more and more material and functional, and thus a more 'modern', conception of the world.</body>
</html>

"
https://osiris-student.uu.nl/student/osiris/owc/cursussen/171868,2016,The Western Way of War: War and Identity in Europe,Dutch,Faculty of Humanities,,['dr. R. Strootman'],,"Course goals
<html>
	<head><style type=""text/css"">body { font-size: 9pt; font-family: Arial } table { font-size: 9pt; font-family: Arial }</style></head>
	<body>
		<strong>Eindtermen:&nbsp;</strong>na afloop van de cursus heeft de student:
		<ul>
			<li>
				Kennis van en inzicht in de historische ontwikkelingen m.b.t. het thema van de cursus</li>
			<li>
				Kennis van de historiografische traditie op het gebied van het thema van de cursus</li>
			<li>
				Bekendheid met de uiteenlopende manieren waarop historische kennis inzake het thema van de cursus relevant kan zijn voor de eigen kansen op de arbeidsmarkt</li>
			<li>
				Vaardigheid om volgens academische normen te werken, o.a. wat betreft denken, handelen en communiceren en wat betreft gedragsnormen (&lsquo;eerlijke wetenschap&rsquo;)</li>
		</ul>
		&nbsp;<br />
		<strong>Leerdoelen en vaardigheden:&nbsp;</strong>na afloop van de cursus heeft de student geleerd om:
		<ul>
			<li>
				Een breed historisch of historiografisch thema uit te diepen</li>
			<li>
				Verschillende interpretaties af te wegen en kritisch een eigen invalshoek te formuleren</li>
			<li>
				Een discoursanalyse mondeling en schriftelijk adequaat te verwoorden</li>
			<li>
				Samen te werken met medestudenten ten behoeve van een groepspresentatie</li>
			<li>
				Historische kennis inzake denken over het thema van de cursus te koppelen aan de eigen kansen op de arbeidsmarkt</li>
			<li>
				De historische kennis inzake het thema van de cursus met hedendaagse maatschappe&shy;lijke en politieke vraagstukken te verbinden</li>
			<li>
				Volgens academische standaarden te werken</li>
		</ul>
	</body>
</html>

Content
<html>
<head>
<meta http-equiv=""content-type"" content=""text/html; charset=utf-8"" /><style type=""text/css"">body { font-size: 9pt; font-family: Arial } table { font-size: 9pt; font-family: Arial }</style></head>
<body>Dit is de inleidende cursus van het Verdiepingspakket Europa<br />
<br />
<strong>Over deze cursus:</strong><br />
Rond 500 v.Chr. sloegen een handjevol Griekse stadstaten een aanval af van het machtige Perzische wereldrijk; anderhalve eeuw later wist Alexander de Grote het Perzische Rijk zelf te gronde richten. Deze overwinningen houden nog steeds de gemoederen bezig. Van de Klassieke geschiedschrijver Herodotos tot twintigste-eeuwse militair historici als John Keegan en Victor Davis Hanson werd het Grieks-Perzische conflict geconcipieerd als startschot van een uitzonderlijke, en superieure, 'Western way of war'. Kenmerkend is o.m. technologische vooruitgang, inzet van zware infanterie, de ideologie van de beslissende veldslag, discipline en standvastigheid, en de bereidheid tot het brengen van offers voor vrijheid en vaderland. Via het Romeinse Rijk en de 'Military Revolution' van rond 1600 zou de typisch Europese wijze van oorlogvoeren aan de basis hebben gestaan van de Europese suprematie in de wereld. Vermeende verschillen in oorlogvoering tussen 'Oost' en 'West' hebben bovendien een belangrijke rol gespeeld in de totstandkoming van 'Europa' als concept. Er wordt daarom ook aandacht besteed aan de cultuurhistorische aspecten van oorlog, en de verbeelding van overwinningen op (en pijnlijke nederlagen tegen) niet-westerse tegenstanders in schilderkunst en cinema.</body>
</html>

"
https://osiris-student.uu.nl/student/osiris/owc/cursussen/174720,2016,'Heritage': Dynamics of Collections,English,University College Utrecht,,"['dr. G.J. Vroege', 'dr. M.R. Bouquet', 'dr. T. Zakula']",,"Course goals
<html>
	<head><style type=""text/css"">body { font-size: 9pt; font-family: Arial } table { font-size: 9pt; font-family: Arial }</style></head>
	<body>
		<div>
			After completing this course students are able to:</div>
		<ul>
			<li>
				engage with debates about the meanings and uses of the term ‘heritage’,</li>
			<li>
				synthesize interdisciplinary approaches to 21st century heritage and make active use of scholarly skills,</li>
			<li>
				explain the formation and evolution of the historic monument, collections, and heritage, informed by study in the fields of Art History, Anthropology and Science,</li>
			<li>
				analyze some of the dynamics of 21st heritage: globalization, expansion, collection management,</li>
			<li>
				apply their knowledge to real-life situations regarding monuments, collections, and different forms of heritage,</li>
			<li>
				integrate interdisciplinary scholarship on heritage and collections into the core of their liberal arts and sciences education,</li>
			<li>
				realize their own research paper departing from a focus on one or more of the dynamics of heritage,</li>
			<li>
				write their research findings in the form of a visually informed research paper.</li>
		</ul>
	</body>
</html>

Content
<html dir=""ltr"">
	<head>
<meta http-equiv=""content-type"" content=""text/html; charset=utf-8"" /><style type=""text/css"">body { font-size: 9pt; font-family: Arial } table { font-size: 9pt; font-family: Arial }</style></head>
	<body>
		<div>
			This course takes a broad, comparative approach to the historical development of heritage while going into depth through a range of case studies, both European and non-European. From the rise of the historic monument and expanding scope of Renaissance collections; to the classification and inventory of national antiquities in the 17<sup>th</sup> and 18<sup>th</sup> centuries. The founding of national museums, whether commercially and scientifically-based, as with the British Museum (1759), or according to the revolutionary model of the Louvre Museum (1793), reflected core values of the Enlightenment: democracy, rationality and knowledge marked a new era of citizenship – for both subjects and objects. The vandalism unleashed by the French Revolution engendered efforts to conserve and classify as <em>patrimoine </em>royal assets otherwise vulnerable to destruction. Nineteenth-century restoration debates give insight into the ruptured sense of time perpetrated by the industrial revolution. Ethnographic collecting attempted to preserve a record of human groups whose arts and culture, it was believed, would disappear under colonial rule.&nbsp; The 20<sup>th</sup>-century development of international professional organizations, conventions and the creation of new categories of heritage, such as industrial, natural and intangible, reflect the unprecedented expansion but also the frictions generated by heritage.</div>
		<div>
			The course examines how and why these shifts took place by engaging with scholarly literature and debates in art history, history of science, and anthropology; and by means of case studies. The optional excursion to London in the mid-term break to visit museums and meet professionals can add a further dimension to the student’s knowledge of practical aspects of contemporary heritage institutions including collection management, conservation, research, exhibition and education.</div>
		<br />
		<div>
			<b>Format </b><br />
			The course is divided into three content sections: the first two before mid-term, and the third after mid-term, each with its own written assignment. The final weeks of the semester will be devoted to writing a research essay on a topic of the student’s own choice. There will be a number of plenary sessions to ensure course cohesion throughout. There will be small assignments to support the research process and individual meetings to support the writing process of the term paper throughout the semester. The optional excursion is highly recommended to those who plan to undertake an internship.</div>
	</body>
</html>

"
https://osiris-student.uu.nl/student/osiris/owc/cursussen/174187,2016,(In)tangible Heritage and Identity,Dutch,Faculty of Humanities,,['dr. G.F.J. Plets'],,"Course goals
<html>
	<head>
<meta http-equiv=""content-type"" content=""text/html; charset=utf-8"" /><style type=""text/css"">body { font-size: 9pt; font-family: Arial } table { font-size: 9pt; font-family: Arial }</style></head>
	<body>
		Studenten maken kennis met actuele debatten over erfgoed en identiteit die de ontwikkeling betreffen van materieel, visueel zichtbaar en tastbaar, via beleefbaar en invoelbaar erfgoed tot 'immaterieel erfgoed'. &nbsp;&nbsp;</body>
</html>

Content
<html>
<head>
<meta http-equiv=""content-type"" content=""text/html; charset=utf-8"" /><style type=""text/css"">body { font-size: 9pt; font-family: Arial } table { font-size: 9pt; font-family: Arial }</style></head>
<body><strong>NB 1&nbsp;</strong>Studenten van de MA Geschiedenis: educatie en communicatie kunnen zich als bijvakker voor deze cursus via hun tutor inschrijven. Alle andere studenten die deze cursus als bijvak willen volgen, moeten contact opnemen met de MA coördinator.<br />
<br />
Tradities, identiteiten, herinneringen aan een (al dan niet zelf beleefd) verleden krijgen gestalte in historische films en documentaires, historical re-enactments, theater in het (historische) museum en andere 'performances of the past'. Deze 'performances of the past' lijken de historische cultuur van de 21e eeuw te gaan domineren. Cultuurhistorici moeten deze ontwikkeling van de 'visual naar de performative turn' met een open geest tegmoet te treden -maar deze ook kritisch onderzoeken. Dat doen we in deze cursus: studenten analyseren verschillende casussen uit Nederland, Europa en de wereld.&nbsp;<br />
<br />
<strong>Arbeidsmarktorientatie</strong><br />
a. excursies / excursions<br />
b. het analyseren van concrete (erfgoed-)instellingen in weekopdrachten/analysis of practices of heritage-institutions</body>
</html>

"
https://osiris-student.uu.nl/student/osiris/owc/cursussen/173360,2016,20th-Century German Philosophy,English,Faculty of Humanities,,['dr. J.E. de Jong'],,"Course goals
<html>
<head>
<meta http-equiv=""content-type"" content=""text/html; charset=utf-8"" /><style type=""text/css"">body { font-size: 9pt; font-family: Arial } table { font-size: 9pt; font-family: Arial }</style></head>
<body>This seminar provides an examination of the central philosophical texts and arguments of one or more key figures in 20th-Century German (and Austrian) philosophy. Students will gain insight into the wider context of the texts studies and an understanding of the arguments for and against the positions taken.&nbsp; They will also develop their own interpretation and assessment of the texts examined.</body>
</html>

Content
<html>
<head>
<meta http-equiv=""content-type"" content=""text/html; charset=utf-8"" /><style type=""text/css"">body { font-size: 9pt; font-family: Arial } table { font-size: 9pt; font-family: Arial }</style></head>
<body>In the German-speaking world, the 20th century was a period of enormously diverse and fruitful philosophical activity: the phenomenological and hermeneutical tradition of Husserl, Heidegger, and Gadamer; the analytical philosophy of Wittgenstein and the Vienna Circle; the Frankfurt School tradition from Horkheimer and Adorno to Habermas and Honneth; and the influential work of Hannah Arendt.&nbsp; Each year, this seminar will focus on one or two philosophers, focusing on particularly influential texts.<br />
<br />
Topic for 2016-17: &nbsp;“An Attempt That Requires Other Forms”: An Introduction to the ‘Middle’ Heidegger<br />
<br />
For more than half a century, the development of Heidegger’s thought was primarily conceived in the binary terms of an ‘early’ and a ‘late’ Heidegger, phases that were supposedly distinguished by a controversial ‘Kehre’ or turning in his thought. ‘Early Heidegger’ referred, basically, to <em>Sein und Zeit</em> (1927) and the writings that led up to it. The ‘later Heidegger’ roughly meant the texts after the <em>Brief über den “Humanismus” </em>(1947). Famous key texts from the late ‘20’s and early ‘30’s were understood as working towards the <em>Kehre</em> or as having already effectuated it. The <em>Kehre</em> itself supposedly consisted in a reversal of the methodology of <em>Sein und Zeit</em>: instead of approaching the sense of being through a prior interrogation of the ways of being of <em>Dasein</em>, the later works were, so it was told, attempts to ‘speak out of the truth of being’ itself, by re-conceiving that truth of being as <em>Ereignis</em> (""event"").<br />
This entire binary scheme for interpreting Heidegger’s development is now irretrievably outdated. Starting with the <em>Beiträge zur Philosophie (Vom Ereignis) </em>in 1989, the publication of no less than seven works from the ‘30’s and early ‘40’s has completely altered our understanding of Heidegger’s development and of the key terms involved. A ‘middle’ Heidegger was born. We have barely scratched the surface in interpreting these controversial works, let alone of the recently published private notebooks (the notorious ‘black notebooks’) that accompanied this period.<br />
These so-called ""beyng-historical"" works are difficult to penetrate, and in this short course we cannot systematically study them or engage head-on with the heated antisemitism-debate sparked by the notebooks. Instead, this course aims to sufficiently prepare students for such engagements by providing an introduction to the beyng-historical works, focusing on two things. (1) We will read texts from different phases of Heidegger’s development to situate the ‘middle’ works, especially in relation to <em>Sein und Zeit</em> and the so-called <em>Kehre</em>. (2) We will read selections of the <em>Beiträge zur Philosophie</em> <em>(Vom Ereignis) </em>to introduce the key terms of the beyng-historical project, such as <em>Machenschaft</em>, <em>Ereignis</em>, <em>Grundstimmung</em> and the idea of an ‘other beginning’. That the middle works are hard to penetrate has essential reasons: a central course theme and special focus will therefore be the topic of philosophical method and language, in order to understand why Heidegger conceived his middle works as an “attempt that requires other forms”.<br />
The course serves both beginning and more advanced students of Heidegger’s thought. Some background in the history of modern German philosophy is required. Ability to read German is recommended but not strictly required (translations are available).&nbsp; &nbsp;&nbsp;<br />
<br />
<strong>This course is for RMA students in the Graduate School of Humanities and students in the History and Philosophy of Science. Students of other MA-programmes, please contact the Course Coordinator.&nbsp;</strong><br />
&nbsp;<br />
<strong>Interested M.A. exchange students with a strong background in philosophy may qualify to take the course; however, they should first contact the RMA Philosophy coordinator:&nbsp;&nbsp;<a href=""mailto:j.h.anderson@uu.nl"">j.h.anderson@uu.nl</a></strong></body>
</html>

"
https://osiris-student.uu.nl/student/osiris/owc/cursussen/171950,2016,A Brief History of Violence in the Human Condition,"Dutch, English",Faculty of Humanities,,"['dr. M.A. Fumerton', 'dr. R.W.F.G. Sprenkels']",,"Course goals
<html>
<head>
<meta http-equiv=""content-type"" content=""text/html; charset=utf-8"" /><style type=""text/css"">body { font-size: 9pt; font-family: Arial } table { font-size: 9pt; font-family: Arial }</style></head>
<body><strong>Learning outcomes:&nbsp;</strong>after completing the course, students will have:
<ul>
	<li>knowledge and understanding of historical developments related to the course topic;</li>
	<li>knowledge of the historiographical tradition within the course topic;</li>
	<li>familiarity with the diverse ways in which historical knowledge of the course topic can be relevant to their own job market prospects;</li>
	<li>a skill set enabling them to think, act and communicate at an academic level and in line with academic standards of conduct ('academic integrity').</li>
</ul>
&nbsp;<br />
<strong>Learning objectives and skills:&nbsp;</strong>after completing the course, students will be able to:

<ul>
	<li>explore a broad historical or historiographical topic in depth;</li>
	<li>critically evaluate diverging interpretations and formulate their own viewpoint;</li>
	<li>present a well-formulated discourse analysis both orally and in writing;</li>
	<li>collaborate with fellow students on a group presentation;</li>
	<li>link knowledge of historical thinking on the course topic to their own job market prospects;</li>
	<li>connect historical knowledge of the course topic to modern-day social and political issues­;</li>
	<li>work in conformity with academic standards.</li>
</ul>
</body>
</html>


<style type=""text/css"">body { font-size: 9pt;
Content
<html>
<head>
<meta http-equiv=""content-type"" content=""text/html; charset=utf-8"" /><style type=""text/css"">body { font-size: 9pt; font-family: Arial } table { font-size: 9pt; font-family: Arial }</style></head>
<body>
<div><strong>About this course:</strong><br />
This course takes a brief look at the place of political violence in the human condition from ancient times to the present. Drawing insights from a selection of texts, we will trace and critically contemplate how understandings of the symbolic meaning and instrumental application of political violence have been transformed over the past two millennia. These transformations will be viewed primarily in relation to revolutions in philosophical, theological, and scientific thought, the historical global expansion of European power, the development and consolidation of an international system of nation-states, and the systematic attempt since the 19th century to limit the savagery of warfare through the establishment and dominance of universal ethical, normative, and legal systems and discourses. In short, this course aims to provide students with a preliminary exposure to the major ideas that have greatly influenced not only the meaning and practice of political violence over human history, but also the philosophical understandings and explanations that are at the foundations of modern social-scientific theories on political conflict and violence.</div>

<div>Prerequisites:&nbsp;Students must have completed at least 45 credits in category 1 (Bachelor's Introduction).&nbsp;</div>
</body>
</html>


<style type=""text/css"">body { font-size: 9pt;
"
https://osiris-student.uu.nl/student/osiris/owc/cursussen/173848,2016,Internship/ Business Internship,English,Faculty of Science,,"['A. Turro Sol', 'dr. L.A. de Bell', 'dr. L.E. di Vito', 'dr. P. Fliers', 'dr. P. Krijgsheld', 'dr. S. Goubitz', 'drs. A.J.C.M. van Hoof', 'drs. H.A. de Graaf', 'prof. dr. F.H.M. Verbeeten']",,"Course goals
<html>
  <head><style type=""text/css"">body { font-size: 9pt; font-family: Arial } table { font-size: 9pt; font-family: Arial }</style></head>

  <body>
    <b>Learning     Objectives:</b>
    <div>
      &#160;
    </div>

    <div>
      1.&#160;&#160;&#160;       Learn       to       apply       and       extend       knowledge       and       skills       gained       during       theory       classes.      
<br />2.&#160;&#160;&#160;       Learn       to       translate       business       management       problems       into       a       clear       problem       statement       and       relevant       sub       questions.      
<br />3.&#160;&#160;&#160;       Learn       to       design       and       conduct       the       practical       and       theoretical       research       needed       to       answer       the       questions.      
<br />4.&#160;&#160;&#160;       Learn       to       analyse       and       interpret       results.      
<br />5.&#160;&#160;&#160;       Learn       to       write       a       business       report       with       concrete       conclusions       and       recommendations.      
<br />6.&#160;&#160;&#160;       Learn       to       present       the       outcomes       of       the       report       to       an       audience       of       specialists       and       non-specialists.      
<br />7.&#160;&#160;&#160;       Learn       how       to       work       in       a       professional       environment.
    </div>

    <div>
      &#160;
    </div>

    <div>
      &#160;

    </div>

  </body>

</html>


Content
<html>
  <head><style type=""text/css"">body { font-size: 9pt; font-family: Arial } table { font-size: 9pt; font-family: Arial }</style></head>

  <body>
    <div>
      To really understand how       things       work       outside       the       university,       an       internship       in       a       company       or       institute       is       obligatory.       Preferably       the       topic       of       the       internship       is       a       combination       of       both       business       and       science.       Before       the       start       of       the       internship       a       clear       formulation       of       a       problem,       which       will       be       the       subject       of       investigation,       has       to       be       approved       by       the       internship       coordinator.       The       internship       includes       practical       work,       and       a       report       (in       total       around       5       months),       for       instance       with       a       consultancy       firm       advising       multinationals       on       their       research       policies,       or       in       a       small       biotech       start-up       company       working       on       business       development.       A       supervisor       from       the       University       should       be       involved       in       guiding       you       through       this       business       internship.

    </div>

  </body>

</html>


"
https://osiris-student.uu.nl/student/osiris/owc/cursussen/171219,2016,Interdisciplinary Social Sciences in practice: analyzing and solving social problems,Dutch,Faculty of Social Sciences,,['drs. J.V. Reimus'],,"Course goals
<html>
	<head><style type=""text/css"">body { font-size: 9pt; font-family: Arial } table { font-size: 9pt; font-family: Arial }</style></head>
	<body>
		<div>
			Na afloop van de cursus moeten studenten:</div>
		<ul>
			<li>
				kennis hebben&nbsp;van aard, volume en bestrijding van enkele sociale problemen in Nederland binnen de thema&#39;s&nbsp;criminaliteit en veiligheid, jeugd en gezondheid, particuliere initiatieven in de verzorgingsstaat,&nbsp;en&nbsp;etnische relaties;</li>
			<li>
				inzicht hebben in de relatie tussen analyse en beleid van sociale vraagstukken;</li>
			<li>
				vaardigheid verworven hebben in het op wetenschappelijke wijze samenvatten van theorie&euml;n, onderzoeksresultaten en beleidsstukken;</li>
			<li>
				theorie&euml;n, onderzoeksresultaten en beleidsstukken kritisch en theoretisch kunnen beoordelen;</li>
			<li>
				opgespoorde en verwerkte gegevens kunnen onderbrengen in een samenhangend betoog;</li>
			<li>
				aanbevelingen kunnen bedenken en verwoorden in een beknopte beleidsnotitie over de bestrijding van sociale problemen in Nederland;</li>
			<li>
				mondeling presenteren en verdedigen van het groepspaper.</li>
		</ul>
	</body>
</html>

Content
<html dir=""ltr"">
	<head>
<meta http-equiv=""content-type"" content=""text/html; charset=utf-8"" /><style type=""text/css"">body { font-size: 9pt; font-family: Arial } table { font-size: 9pt; font-family: Arial }</style></head>
	<body>
		<div>
			In deze cursus maken studenten kennis met het op sociaalwetenschappelijke en multidisciplinaire wijze analyseren van sociale problemen in Nederland.&nbsp;Bovendien wordt vanuit de analyse nagedacht over bestaand en wenselijk beleid ter bestrijding van deze problemen.</div>
		<div>
			De cursus is gestructureerd aan de hand van vier thema's: criminaliteit en veiligheid, jeugd en gezondheid, particuliere initiatieven in de verzorgingsstaat, en culturele diversiteit. Bij elk thema geven de hoorcolleges een overzicht van de mate waarin bepaalde sociale problemen zich voordoen in Nederland, wordt stilgestaan bij onderzoek naar de oorzaken van het probleem, en worden voorbeelden besproken van (onderzoek naar) de actuele en mogelijke bestrijding van sociale problemen en de organisaties die daarbij betrokken zijn.</div>
		<div>
			In de werkgroepen werken studenten groepsgewijs aan (deel)opdrachten die samen uitmonden in een beknopte beleidsnotitie van 3500-4000 woorden. Hierbij oefenen studenten onder andere met het kernachtig weergeven van onderzoeksresultaten, het kritisch evalueren van bestaande aanbevelingen&nbsp;en het zelfstandig formuleren van nieuwe aanbevelingen voor beleid die hun basis hebben in de zelf gemaakte analyse en die tot doel hebben sociale problemen te bestrijden of te voorkomen.</div>
		<div>
			De cursus wordt afgesloten met&nbsp;presentaties waarbij studenten groepsgewijs hun beleidsnotities presenteren aan een forum van peers.<br />
			&nbsp;</div>
		<div>
			<b>Aspecten van academische vorming </b><br />
			In de cursus worden de volgende academische vaardigheden geoefend: het opzoeken van relevante wetenschappelijke literatuur, het voorbereiden, afnemen en verwerken van een interview met een (ervarings)deskundige of het opzoeken en analyseren van een relevante documentaire of reportage ten behoeve van de schrijfopdracht, het analyseren van een sociaal probleem met behulp van wetenschappelijke theorieën en onderzoeksresultaten, het vertalen van de analyse in aanbevelingen voor beleid ter bestrijding van het sociale probleem, het evalueren van bestaand beleid in het licht van de gemaakte analyse, het schrijven van een wetenschappelijk intern consistent betoog, het aan<em> <i>peers</i></em> presenteren van de analyse van een zelf gekozen sociaal probleem alsmede de uit die analyse voortvloeiende beleidsaanbevelingen, het becommentariëren van de analyse en probleembestrijding die door <i>peers</i> gepresenteerd wordt, samenwerken aan een schrijfproject, inclusief <i>peerfeedback</i> geven.<br />
			<br />
			&nbsp;</div>
		<div>
			&nbsp;</div>
	</body>
</html>

"
https://osiris-student.uu.nl/student/osiris/owc/cursussen/172808,2016,Chemistry of the Earth,Dutch,Faculty of Geosciences,,"['dr. M. Wolthers', 'prof. dr. J.B.M. Middelburg']",,"Course goals
<html>
	<head><style type=""text/css"">body { font-size: 9pt; font-family: Arial } table { font-size: 9pt; font-family: Arial }</style></head>
	<body>
		Gain basic knowledge of:
		<ul>
			<li>
				the Earth from a geochemical perspective</li>
			<li>
				chemical thermodynamics and equilibria calculations</li>
			<li>
				principles of acid-base and redox chemistry as applied to natural waters</li>
			<li>
				quantum mechanical basis of the periodic table</li>
			<li>
				analytical techniques and approaches used in geochemistry</li>
		</ul>
	</body>
</html>

Content
<html>
	<head><style type=""text/css"">body { font-size: 9pt; font-family: Arial } table { font-size: 9pt; font-family: Arial }</style></head>
	<body>
		Chemical processes play a critical role in the functioning of the earth system. The aim of this course is to show how fundamental chemistry can be used to understand how natural processes and, more recently, human activities, have shaped and are shaping the earth environment as we know it.&nbsp;<br />
		&nbsp;<br />
		The course gives an introduction to the Earth from a chemical perspective. It covers the physical chemistry of solid materials down to the atomic level and of thermodynamic equilibria in solutions.&nbsp; It provides a theoretical chemical background, which is fundamental to explain rock forming processes and to predict mineral precipitation and dissolution.<br />
		&nbsp;<br />
		The most important concept in the course are (I) that equilibria can be predicted from thermodynamic principles and (II) that changes in the relative abundance of elements and/or isotopes can be used to describe geological processes.&nbsp;<br />
		&nbsp;<br />
		Topics covered include:
		<ol>
			<li>
				chemical thermodynamics and equilibria</li>
			<li>
				elements and quantum mechanical basis of the periodic table</li>
			<li>
				acid-base chemistry</li>
			<li>
				redox chemistry</li>
			<li>
				analytical techniques and approaches used in geochemistry</li>
		</ol>
	</body>
</html>

"
