title,authors,supervisors,date,language,keywords,program,abstract
Solidariteit en collectieve actie. Civil society ontwikkeling in Chili en Argentinië tussen 1965 en 2000.,"['Hebinck, T.']","['Graaff, B.G.J. de']",2009-08-13T17:00:23Z,nl,"['civil society', 'politics', 'dictatorships', 'Latin America']",Internationale betrekkingen in historisch perspectief,"Mijn masterscriptie voor de opleiding Internationale betrekkingen in historisch perspectief beschrijft de ontwikkeling, of het gebrek daaraan, van een civil society in Chili en Argentinië tussen 1965 en 2000. Er bestaat geen officiële of algemeen geaccepteerde definitie van de term civil society, maar binnen deze scriptie staat het begrip voor het domein van vrijwillige associaties tussen burgers met dezelfde (politieke) belangen, welke ze trachten te bevorderen buiten de sfeer van de staat, markt en familie. De vragen die centraal staan binnen deze scriptie zijn de volgende: In hoeverre heeft zich in Chili en Argentinië tussen de jaren 1965 en 2000 een civil society ontwikkeld, hoe zag deze eruit en in welk land ontwikkelde zich deze het sterkst? De onderzoeksperiode is opgedeeld in drie tijdsvakken, namelijk de periode van 1965 tot aan de militaire staatsgrepen, de periode van de militaire dictatuur (in Chili tussen 1973 en 1990 onder leiding van Pinochet en in Argentinië tussen 1976 en 1983 onder leiding van Videla, Viola en Galtieri) en ten slotte de periode van de prille democratie tot aan de eeuwwisseling."
‘Een tweede Israël’. Orthodox-protestants nationaal denken in Nederland en Pruisen in de eerste helft van de negentiende eeuw,"['Kleinjan, G.']","['Lantink, F.W.']",2009-08-13T17:00:35Z,nl,"['politiek, negentiende eeuw, nationalisme, protestantisme, groen van prinsterer, da costa, wichern, stahl, pruisen, nederland']",Geschiedenis van Politiek en Cultuur,
De levensbeschouwelijke speelplaats. Een onderzoek naar de inter-levensbeschouwelijke dialoog in het secundair onderwijs,"['Amersfoort, Lennart']","['Bakker, Cok']",2009-08-14T09:03:25Z,nl,"['secundair', 'onderwijs', 'dialoog', 'levensbeschouwing', 'conceptualisatie', 'religie']",Religie en theologie,"This master thesis is about the dialogue between worldviews in the Dutch secondary school system. In Dutch, this dialogue is called the inter-levensbeschouwelijke dialoog in het secundair onderwijs. The title of the thesis can be translated as follows: the playground of worldviews. This title is chosen because, in the eyes of the author, the characteristics of the dialogue are the same as that of a playground. 

The main question in the thesis is twofold. For that reason the thesis exists of two parts. The first part contains a literature study. The leading question in this part is: what is the importance of the dialogue between worldviews in the secondary school system. Successively the following subject are discussed. 

The first chapter is about the worldview of modern humans. In the Dutch literature there is no clear distinction between the concepts of levensbeschouwing (worldview) religie (religion in the broad way) and godsdienst (religions with a concept of the transcendent). So, in the first place these terms are explored. Further on, there is a discussion about the term modernity and the transformation of religion. Also the way worldviews are constructed these days and the new Islamic pillar in the Dutch society are discussed. 

In the second chapter the dialogue between worldviews is discussed. The chapter contains a characterisation of this dialogue. Also, some threats concerning the dialogue are discussed. The first is reification, the second is double standards. The different ways in which the dialogue can appear are originating from V. Küster. He distinguished three different ways in which the dialogue can occur. The first is called the dialogue of life, this is the daily way in which the dialogue occurs. The second is called the dialogue of the mind. It is about the discussion and debate. The third is called the dialogue of the hart, this way of dialogue is about spiritual moments.

The third chapter discusses the role of worldview in the Dutch secondary schools. In this chapter, the present day situation is reproduced. Article 23 and the identity development of children are discussed. Finally, there is a paragraph about school identity.

The last chapter of part one, is about the importance of the dialogue between different worldviews in the secondary schools. Two points of importance are distinguished. In the first place the personal importance is discussed. The dialogue can lead to a personal awakening of the worldview. Besides this, it can play a helpful role in developing the personal worldview. The second distinguished point, is the social importance. Also two points can be distinguished here. In the first place the dialogue can lead to a better understanding of each other. In the second place, the dialogue can achieve a greater tolerance in the society. 

The second part of the thesis consist of an empirical research. The leading question is how the dialogue takes place in the secondary schools. In the first place the influence of the school on the dialogue is discussed. In the second place, the influence of the kind of worldview, religious or secular, on the dialogue is discussed.

Two points determined the types of school. The first point was the compilation of the worldviews the student have. Two ways of compilations were distinguished. The first is a homogeneous population of worldviews, the second is a multiform population of worldviews. The second point is the presence of religious education in the curriculum of the school. Finally, three types of schools are distinguished. One homogenous school were religious education took place. One multiform school were religious education took place, and finally a multiform school without religious education.

The empirical research is held on three different secondary schools in the city of Veenendaal. An inquiry was set up under the students of the school. In each school, a fourth havo and a fourth vwo class was inquired. In total, 117 inquiries were analysed. The teachers of the students were interviewed, to add a qualitative aspect to the quantitative research. 

At the end, the conclusions are made up. There are some discussions add to the conclusions. Also some suggestions for further research are made up. Some of the most interesting conclusion are that the type of school does not have a very large effect on the way the dialogue is held. In contrast with this, the worldview of the student is of importance for the way the dialogue occurs. Next to that, worldview seems to play a small part in the identity of the students. For that reason worldview is not of great importance and is disturbing for them."
Taalinhoud in het Ontwikkelingsvolgmodel: Een Valideringsonderzoek,"['Munnix, I.J.W.M.']","['Haan, D. de']",2009-08-11T17:00:11Z,nl,[],Kinder- en jeugdpsychologie,"Het Ontwikkelingsvolgmodel (Memelink, D. J., & Bonthond-Oosterhaven, N. , 2001. Ontwikkelingsvolgmodel jonge kinderen basisonderwijs, Utrecht: Hogeschool van Utrecht Seminarium voor Orthopedagogiek) heeft tot doel de ontwikkeling van kinderen op school via observatie te volgen om ontwikkelingsproblemen vroegtijdig te kunnen signaleren. Het model bevat verschillende ontwikkelingslijnen, waarop de veranderingen op een bepaald ontwikkelingsgebied naar leeftijd ingedeeld en beschreven worden. Het huidige onderzoek richt zich op de validering van de ontwikkelingslijn ‘taalinhoud’, met nadruk op de woordenschat / semantiek. Hiertoe is de ontwikkelingslijn op kwalitatief vlak beoordeeld en zijn voor alle participerende kinderen (N=136, leeftijd 4-7 jaar) de gegevens op de lijn ‘taalinhoud’ vergeleken met toetsscores op de taak ´woordomschrijving´ van de Taaltoets Alle Kinderen (TAK). De kwalitatieve beoordeling van de lijn ´taalinhoud´geeft een aantal beperkingen van de lijn weer wat betreft leeftijdsindeling en de definiëring van de ontwikkelingen.  De kwantitatieve analyses geven, zoals verwacht, een positieve samenhang weer tussen de toetsscores van de TAK en de resultaten van het OVM, maar die samenhang is matig. Overigens is de samenhang sterker naarmate de leeftijd van kinderen toeneemt. De verschillen tussen docenten zijn wat de samenhang betreft echter groot. Verder blijkt een sterke positieve samenhang tussen de werkelijke leeftijd en de ontwikkelingsleeftijd van het OVM te bestaan, wat in lijn van de verwachting ligt."
Cultuurhistorische waardenkaart Rotterdam. Casus Rotterdam-Zuid.,"['Kuilenburg, A.N.G.A.K. van']","['Ottenheym, K.A.']",2009-08-13T17:00:38Z,nl,"['cultuurhistorische waardenkaart', 'Rotterdam', 'scriptie', 'cultuurhistorie', 'ruimtelijk ordeningsbeleid']",Architectuurgeschiedenis en monumentenzorg,"In deze thesis wordt de ontwikkeling van de cultuurhistorische waardenkaart van Rotterdam-Zuid beschreven. Niet  alleen het doel en de totstandkoming van de cultuurhistorische waardenkaart worden behandeld, maar ook de rol van cultuurhistorie in het ruimtelijk ordeningsbeleid van Rotterdam en Nederland komt aan bod. Uiteraard wordt er ook een beschrijving gegeven van de historisch-ruimtelijke ontwikkeling van Rotterdam-Zuid. De thesis gaat vergezeld van een cultuurhistorische waardenkaart van dit gebied."
Sebald Rudolf Steinmetz: Verheffer van het volk,"['Rooze, G.']","['Smit, C.A.L.']",2009-08-13T17:00:13Z,nl,"['Steinmetz, sociologie, sociaaldarwinisme, eugenetica, Toynbee-werk, Volksuniversiteit']",Geschiedenis van Politiek en Cultuur,
Aandacht als beroep,"['Grauss, Yvonne']","['Hijweege, Nicolette']",2009-08-14T09:02:25Z,nl,"['presentietheorie', 'aandacht']",Religie en theologie,
De invloed van verschillende vormen van teruggetrokken gedrag op de intensiteit waarmee kinderen emoties in gezichtsexpressies decoderen.,"['Vreumingen, D.Q. van']","['Aleva, Liesbeth', 'Beek, Yolanda van']",2009-07-23T17:02:10Z,nl,"['Emoties, emotiedecoderen, gezichtsexpressies, teruggetrokken gedrag, depressie, kinderen']",Kinder- en jeugdpsychologie,"Deze exploratieve studie heeft als doel meer duidelijkheid te krijgen over verbanden tussen de verschillende vormen van teruggetrokken gedrag, depressiviteit en de intensiteit waarmee verschillende emoties in waargenomen gezichtsexpressies gedecodeerd worden, bij kinderen in de leeftijd van acht tot en met twaalf jaar oud. 286 kinderen tussen de acht en twaalf jaar zijn op school klassikaal aan de hand van drie meetinstrumenten getest. Er is gebruik gemaakt van de Children’s Depression Inventory, om de zelfgerapporteerde depressieve klachten te meten, er is gebruik gemaakt van de Revised ClassPlay om na te gaan hoe kinderen elkaar beoordelen op het gebied van sociale competenties. Tot slot hebben de kinderen een Nonverbale EmotieRecognitietaak uitgevoerd, die meet welke intensiteit kinderen aan verschillende emoties in gezichtsexpressies toekennen. Multiple hiërarchische regressie heeft meerdere significante verbanden laten zien tussen de vormen van teruggetrokken gedrag en emotiedecoderen. De verschillende vormen van teruggetrokken gedrag lijken vooral een voorspellende waarde te hebben voor het emotiedecoderen in neutrale expressies. Een belangrijk resultaat is dat naarmate kinderen hoger scoren op sociaal angstig gedrag zij een lagere intensiteit toekennen aan de emotie boos in neutrale gezichtsexpressies. Naarmate kinderen hoger scoren op actief geïsoleerd gedrag, kennen zij de emoties verdrietig en angstig een lagere intensiteit toe in neutrale gezichtsexpressies. Hoewel er een aantal significante resultaten zijn gevonden zijn er ook een aantal kanttekeningen bij dit onderzoek te plaatsen op het gebied van methodologische opzet. Het is aan te bevelen vervolgonderzoek te doen om met grotere zekerheid uitspraken te kunnen doen."
Het effect van ontvangen kritiek op de versterking van sociale fobie kenmerken bij adolescenten,"['Adriaans, L.C.M.']","['Raaijmakers, Q.A.W.', 'Hale, W.W.']",2009-07-23T17:04:14Z,nl,"['adolescents, Expressed Emotion ‘criticism’, social phobia, gender, age']",Orthopedagogiek,"Objective: This study examined the effect of the expressed emotion (EE) ‘criticism’, as perceived by the recipient, on the development of social phobia symptoms in a large sample of adolescents from the general population. Method: A total of 2290 high school students participated in this study. They completed the Screen for Child Anxiety Related Emotional Disorders (SCARED) and the Level of Expressed Emotion (LEE) questionnaire. Hierarchical multiple regression analyses were conducted to investigate the effect of perceived criticism on social phobia symptoms and to investigate the moderation effect of gender and age. Results: Regression analyses demonstrated that social phobia symptoms were not being amplified by perceived criticism. The effect does not differ between boys and girls, but it differs between several age groups. The moderation effect of age includes that perceived criticism leads to less social phobia symptoms in older adolescents. Conclusions: This study does not extend the expectation that perceived criticism amplifies social phobia in adolescents. The results of this study emphasize the importance of future research in the experience of adolescents and their relationship with psychopathology."
Emotionele gezichtsherkenning en interpretatie bij sociaal competente en sociaal teruggetrokken kinderen.,"['Beaumont, L.']","['Aleva, Mw. Dr. A.E.', 'Beek, Mw. Dr. Y. van']",2009-07-23T17:03:13Z,nl,[],Kinder- en jeugdpsychologie,"Samenvatting:	In dit onderzoek is onderzocht wat de rol van leeftijd en sekse is bij sociaal competente en sociaal teruggetrokken kinderen, in het herkennen en interpreteren van emotionele gezichtsexpressies. Hiernaast is onderzocht of er verschillen bestaan binnen de groep sociaal teruggetrokken kinderen, bestaande uit drie typen kinderen: angstig depressief, angstig teruggetrokken en afgewezen teruggetrokken. Dit onderzoek is uitgevoerd onder 322 basisschoolleerlingen uit de groepen 5, 6, 7 en 8 in de leeftijd van 8 tot en met 12 jaar. Conform de verwachtingen toont dit onderzoek aan dat, in laag intense gezichtsexpressies, meisjes een hogere intensiteit van verdriet waarnemen dan jongens. Een verrassend en onverwacht resultaat is dat, in laag intense gezichtsexpressies, meisjes een lagere intensiteit van blijdschap waarnemen dan jongens. Verder blijkt dat, in laag intense gezichtsexpressies, jongere sociaal teruggetrokken kinderen een hogere intensiteit van boosheid en verdriet waarnemen dan jongere sociaal competente kinderen. Oudere sociaal competente kinderen nemen hierentegen, in laag intense gezichtsexpressies, juist een hogere intensiteit van boosheid en verdriet waar dan oudere sociaal teruggetrokken kinderen. Daarnaast komt conform de verwachting naar voren dat, in laag intense gezichtsexpressies, oudere kinderen een lagere intensiteit van blijdschap waarnemen dan jongere kinderen. Ten slotte blijkt dat binnen de groep sociaal teruggetrokken kinderen, in laag intense gezichtsexpressies, angstig depressieve en angstig teruggetrokken kinderen een hogere intensiteit van angst waarnemen dan afgewezen teruggetrokken kinderen. Geconcludeerd wordt dat er enkele verschillen bestaan in leeftijd en sekse bij sociaal competente en sociaal teruggetrokken kinderen met betrekking tot het waarnemen van emoties in laag intense gezichtsexpressies. Hiernaast bestaan er binnen de groep sociaal teruggetrokken kinderen verschillen met betrekking tot het waarnemen van angst in laag intense gezichtsexpressies. De gevolgen van deze resultaten zullen besproken worden."
