url,year,course_title,language,college,lecturers_urls,lecturers,programmes,text
https://studiegids.uva.nl/xmlpages/page/2014-2015/zoek-vak/vak/740450,2014,'Identiteitspolitiek' revisited,Nederlands,Wijsbegeerte,['/xmlpages/page/2014-2015/zoek-docent/docent/4665'],['mw. dr. K.V.Q. Vintges'],"['/xmlpages/page/2014-2015/zoek-opleiding/opleiding/492', '/xmlpages/page/2014-2015/zoek-opleiding/opleiding/1277']","['Inhoud', ""Thema's van\xa0multiculturalisme en identiteitspolitiek zijn in recente jaren uit de gratie\xa0geraakt in politieke en wetenschappelijke kring. Een ‘politics of recognition’ zou\xa0per definitie essentialistische en puristische opvattingen van culturele identiteiten vooronderstellen.\xa0Waar liberale denkers identiteitspolitiek als zodanig verwerpen ten gunste van een individueel rechtendiscours, en Marxisten dit van oudsher doen ten gunste van een sociaal economische benadering, hebben postmoderne denkers in recente jaren eveneens korte metten gemaakt met de concepten identiteit en identiteitspolitiek, met name\xa0vanwege de\xa0reificerende en essentialiserende risico’s zoals hierboven genoemd. Maar de substantie van identiteitspolitiek lijkt hiermee niet ‘opgelost’. Mensen kunnen op zoek zijn naar een coherente identiteit die het hen mogelijk maakt om hun situatie te controleren, om denigrerende invullingen van hun identiteit door anderen te kunnen weerleggen, en om politieke en maatschappelijke veranderingen te bepleiten.\xa0In deze cursus onderzoeken we de vraag of\xa0culturen en identiteiten ook positieve, ‘empowering’ elementen kunnen zijn die voorwaarts leiden in plaats van achterwaarts. Vanuit deze vraag worden recente debatten over identiteitspolitiek en multiculturalisme herbezien."", 'Aanmelden', 'zie de informatie in de A-Z lijst van je opleiding op http://www.student.uva.nl', 'Werkvorm', 'hoor-/werkcollege', 'Rooster', 'Zie het rooster van dit vak op: https://rooster.uva.nl    Check je rooster voorafgaand aan het college i.v.m. mogelijke wijzigingen.', 'Studiemateriaal', 'teksten o.a. van Sartre, Young, Taylor, Kymlicka, Alcoff, Foucault.', 'Toetsing en toetsdata', 'Aanwezigheid en actieve deelname; referaat; voorbereiding en presentatie van opzet eindpaper; eindpaper.']"
https://studiegids.uva.nl/xmlpages/page/2014-2015/zoek-vak/vak/231,2014,(Bio) Molecular Spectroscopy,English,Graduate School of Sciences,"['/xmlpages/page/2014-2015/zoek-docent/docent/4905', '/xmlpages/page/2014-2015/zoek-docent/docent/4930']","['dr. F. Ariese (VU) (co-ordinator)', 'prof.dr. C. Gooijer (VU)']","['/xmlpages/page/2014-2015/zoek-opleiding/opleiding/25', '/xmlpages/page/2014-2015/zoek-opleiding/opleiding/941']","['Contents', 'For the most recent contents of this course and other information consult http://www.few.vu.nl/nl/studenten/studiegids/.', 'Registration', 'Registration for this course via https://vunet.vu.nl/.']"
https://studiegids.uva.nl/xmlpages/page/2014-2015/zoek-vak/vak/12785,2014,"(Trans)nationalisme, identiteit, cultureel geheugen",Nederlands,"Geschiedenis, archeologie en regiostudies",['/xmlpages/page/2014-2015/zoek-docent/docent/7340'],['mw. dr. K.K. Lajosi (coördinator)'],[],"['Leerdoelen', 'In het onderzoekscollege wordt het wetenschappelijke fundament gelegd voor de bachelorscriptie Europese Studies. De student verkrijgt een overzicht van de wetenschappelijke literatuur, de onderzoeksvragen en onderzoeksmethoden die kenmerkend zijn voor een bepaald onderzoeksthema. De student leert zelfstandig literatuuronderzoek uit te voeren, hetgeen resulteert een overzichtswerkstuk over de literatuur, de onderzoeksvragen en onderzoeksmethoden van het thema van het onderzoekscollege. Daarnaast werkt de student onder begeleiding van de docent aan het opstellen van een onderzoeksvoorstel voor de bachelorscriptie, door een onderzoeksvraag op te stellen en te motiveren, het uit te voeren onderzoek te beschrijven, en het opstellen van een voorlopige hoofdstukindeling en literatuurlijst.', 'Inhoud', 'Deze cursus behandelt de methodiek en de theorie van onderzoek naar nationalisme in een historische en hedendaagse context. Hoe denken de meest toonaangevende wetenschappers over nationalisme?\xa0 Welke benaderingen zijn het meest geschikt voor scripties over nationaal denken en culturele identiteit?', 'In de afgelopen twee eeuwen heeft het nationalisme als ideologie de boventoon gevoerd in cultuur en maatschappij, en tevens in het politieke en economische denken. Na het uiteenvallen van de grote Europese rijken ontstonden verschillende natiestaten. Deze legitimeerden hun bestaan door de strijd voor modernisering, door een beroep op het mandaat van de volkswil, en door een eigen invulling van de geschiedenis. Daarbij werd de natie als een homogene entiteit met eeuwige normen en waarden afgebeeld. Ondanks globalisering en de eenheidsgedachte van de Europese Unie oefent die erfenis van het nationalisme nog steeds een sterke invloed uit op het identiteitsbesef van de Europese burger. Tegenwoordig is het idee van de natie veelvuldig onderwerp van wetenschappelijke en politieke debatten. In de wetenschappelijke\xa0 analyse van het nationaal denken is het accent verschoven van een\xa0 intra-nationale kijk op de natie naar een meer vergelijkend en transnationaal perspectief. Daarbij spelen begrippen zoals cultuurtransfer (culturele overdracht) en cultureel geheugen een centrale rol.', 'Een transnationaal vergelijkende invalshoek, zoals die uitgerekend in de Europese Studies kan worden toegepast, geeft ons vaak een beter inzicht in de complexe culturele en politieke Europese werkelijkheid. Staten hebben multi-etnische gebieden genationaliseerd, en zowel dat proces als de uitkomst daarvan waren en blijven een bron van conflicten. Cultuurgrenzen vallen nooit samen met landsgrenzen. Binnen bestaande naties zijn er vaak verschillende regionale of etnische loyaliteiten – sommige traditioneel-provinciaal, andere modern-stedelijk (als gevolg van migratiepatronen in de laatste 50 jaar). Hoe gaan we om met dubbele nationaliteiten of de zogenaamde “hyphenated identities”? In\xa0 de publieke sfeer zijn er vaak heftige meningsverschillen en debatten over nationale symbolen en identiteiten. Wie hoort bij een natie en wie hoort er niet bij? Hoe stabiel zijn de kenmerken van nationale identiteit? Tot op welke hoogte kunnen natie-staten hun soevereiniteit en hun zogenaamde “identiteit” overdragen aan grotere verbanden? In deze cursus komen zulke vragen aan de orde met als doel het ontwikkelen van een succesvol scriptieonderwerp.', 'Werkvorm', 'Seminars: colleges bestaan uit een korte inleiding gevolgd door actieve groepsdiscussie over voorgeschreven teksten.', 'Rooster', 'Zie het rooster van dit vak op http://rooster.uva.nl', 'Studiemateriaal', 'ANDERSON, Benedict: Imagined Communities, London-New York: Verso, 2003, pp. 1-46, 67-111, 141-154.', 'ASSMANN, Aleida: Cultural Memory and Western Civilization, Cambridge: Cambridge University Press, 2011.', 'ERLL, Astrid: Memory in Culture, London: Palgrave Macmillan, 2011.', 'ERLL, Astrid-Nünning, Ansgar: A Companion to Cultural Memory Studies, Berlin-New York: Walter de Gruyter, 2010.', 'GELLNER, Ernest: Nationlism, London, Phoenix, 1997.', 'HOBSBAWM, Eric and Ranger, Terence: The Invention of Tradition, Cambridge: Canto, 2003, pp. 1-43, 101-164.', 'LEERSSEN, Joep: National Thought in Europe, Amsterdam: Amsterdam University Press, 2006.', ""NORA, P.: 'Between Memory and History: Les Lieux de Mémoire', Representations 26, 1989, 7–25."", 'SMITH, Anthony D.: Nationalism, Cambridge: Polity Press, Key Concepts, 2005.', 'VERTOVEC, Steven: Transnationalism, Oxon: Routledge, 2009.', 'Toetsing en toetsdata', 'Overzichtswerkstuk (100% van het eindcijfer) en Scriptievoorstel (AVV).']"
https://studiegids.uva.nl/xmlpages/page/2014-2015/zoek-vak/vak/12901,2014,(Virtual) Organizations in a Dynamic Context,English,Graduate School of Informatics,['/xmlpages/page/2014-2015/zoek-docent/docent/3179'],['drs. A.W. Abcouwer (co-ordinator)'],['/xmlpages/page/2014-2015/zoek-opleiding/opleiding/174'],"['Objectives', 'The student can sum up the concepts behind the adaptive cycle model of changeThe student can recognize the different roles of management in the phases of the adaptive cycle model and what roles information and information management plays in facilitating the managerThe student can illustrate how an organization in crisis can be better understood by using the adaptive cycle of change-model.The student can recognize the roles of new forms of (virtual) co-operation between organizations to deal with dynamic changes in the environmentThe student knows the concepts and methodologiesThe student can illustrate how the context (life conditions) and the individual worldview – resulting in an actual system of values and norms – can lead to actual behaviorThe student is able, using the above mentioned knowledge and insights - to comment on practical cases in organizations', 'Contents', 'Organizations will inevitably go through phases in their development in a dynamic context. In discussing these phases we will indicate their characteristics, so that they can be recognized and predicted. In addition, we indicate the sequence of phases and we will focus on the transitions between the phases. Consequently, specific success factors for organizational change can be derived and we will focus on the role of Information (management) and the information manager in the success of organizational change processes.', 'Aside from the impact of the dynamic context on the organization itself, the fact that the organization is part of a chain or network of organizations will influence the way of collaborating. These relationships will in many cases have a temporary character. In that respect we often speak of virtual network environments of virtual breeding environments. These concepts will be introduced and elaborated.', 'The approach in the course will be compared with existing theories in the literature on organizational change. The following topics will be studied:', 'Introduction and setting the sceneThe adaptive cycle as method for organizational changeVirtual organizations breeding environmentsVirtual organizationsHumans, culture and working together in teamsThe Cynefin FrameworkRoundup and student lectures', 'Registration', 'Registration is required via https://www.sis.uva.nl until four weeks before the start of the semester.', 'Teaching method', 'The course will be taught in the form of lectures (2h/w) and working groups (4h/w)', 'Study materials', 'Will be made available via Blackboard', 'As a starting point extra literature can be found\xa0using two sources:', 'http://www.adaptivecycle.nl This wiki has been used the last three years for the same course and gives an overview of the almost 170 articles on organizations and organizational changehttp://www.fcngroup.nl This is the site of the Federated Collaborative Networks (FCN) research group led by Prof dr Hamideh Afsarmanesh.', 'Assessment and testing', 'Students will have to do a mini-research project on a specific topic on the field of (virtual) organizations in a dynamic context. The results of this mini research project will have to be presentes in de form of a student lecture.To experience the impact of the theories that will be studied on real organizations a mini case study should be conductedAn exam will take place.']"
https://studiegids.uva.nl/xmlpages/page/2014-2015/zoek-vak/vak/13916,2014,10 Fundamental Questions on Language 1,English,Neerlandistiek,['/xmlpages/page/2014-2015/zoek-docent/docent/500302'],['dr. T.O. Lentz (co-ordinator)'],['/xmlpages/page/2014-2015/zoek-opleiding/opleiding/533'],"['Objectives', 'The student will get insight in the aims, methods and recent results in the field of linguistics and, more in particular, its position in the field of cognitive science.', 'Contents', ""Always wanted to know what linguistics was all about? Got afraid of 'tree-structures' in Chomskian style during your first year Introduction? Nevertheless, had the feeling that something interesting might be going on? Here is your answer: a linguistics course for the non-specialist. In this course a number of topics and questions that are currently subject to linguistic debate will be introduced and discussed. Such topics include discussions as to whether human language really affects perception and culture (addressing myths such as that the Hopi do not perceive time because their language does not have tense). We will also addresses properties that may uniquely characterize human language. We also discuss the autonomy of language as a cognitive function, and how this function may have taken shape in the course of evolution. Also, some time will be spent on how current ideas are grounded in the linguistic tradition of the past 50 years. We will approach these issues without assuming any previous technical linguistic knowledge. The philosophy behind this course is that by studying these discussions in detail, the student will not only achieve more insight in some current notions in the study of linguistics, but also achieve some knowledge of the basics of linguistic theory in general and the way it has been shaped."", 'Registration', 'More information about course enrolment at the Faculty of Humanities: http://www.student.uva.nl', 'Teaching method', 'Seminar, 2 x 2 hours per week. Active participation is required to pass the course.', 'Contact hours', 'Course weekTeaching methodHours/week1 - 7Werkcollege4', 'Time', 'For the time table of this course see https://rooster.uva.nl. Check the time table beforehand for possible changes.', 'Study materials', 'Papers on Blackboard.', 'Assessment and testing', 'Examination scheduleWeighingWeek(1) Presentation of one of the papers / preparation of discussion20%Block 1 week 2-7(2) Outline of journal or popular article to write in Part 2, or shorter article.40%Block 1 week 8(3) Oral exam (20 min.) 40%Block 1 week 8Pass/fail regulations: The student can earn a total of 100 points for the examination components (1), (2) and (3) combined. The student needs a minimum of 55 out of 100 points to pass this course.Re-examination regulations: Component (2) can be revised and submitted for re-evaluation in week 16.']"
https://studiegids.uva.nl/xmlpages/page/2014-2015/zoek-vak/vak/13917,2014,10 Fundamental Questions on Language 2,English,Graduate School of Humanities,['/xmlpages/page/2014-2015/zoek-docent/docent/500302'],['dr. T.O. Lentz (co-ordinator)'],['/xmlpages/page/2014-2015/zoek-opleiding/opleiding/533'],"['Objectives', 'The student will get insight in the aims, methods and recent results in the field of linguistics and, more in particular, its position in the field of cognitive science. The student learns to translate these results to his own field of interest, and learns to disseminate these results for a larger audience.', 'Contents', ""Always wanted to know what linguistics was all about? Got afraid of 'tree-structures' in Chomskian style during your first year Introduction? Nevertheless, had the feeling that something interesting might be going on? Here is your answer: a linguistics course for the non-specialist. This course continues where Part 1 ended, discussing large issues that help answer fundamental questions in linguistics. The issues are decided on the basis of students’ interests, but may include discussions as to whether human language is really different from animal communication, or computer language. We will also look at evolution of language, the link between music and language and the philosopy of language interpretation. We will approach these issues without assuming any previous technical linguistic knowledge. The philosophy behind this course is that by studying these discussions in detail, the student will not only achieve more insight in some current notions in the study of linguistics, but also achieve some knowledge of the basics of linguistic theory in general and the way it has been shaped."", 'Registration', 'More information about course enrolment at the Faculty of Humanities: http://www.student.uva.nl', 'Teaching method', 'Seminar, 2 x 2 hours/week. Active participation is required to pass this course.', 'Time', 'For the time table of this course see https://rooster.uva.nl. Check the time table beforehand for possible changes.', 'Study materials', 'Papers on Blackboard.', 'Assessment and testing', 'Examination scheduleWeighingWeek(1) Contribution to colloquium: preparing and introducing a theme40%Block 2, week 7(2) Journal article (5000 words)60%Block 2, week 8Pass/fail regulations: The student can earn a total of 100 points for the examination components (1) and (2). The student needs a minimum of 55 out of 100 points to pass this course.Re-examination regulations: Component (2) can be revised and submitted for re-evaluation in week 20.']"
https://studiegids.uva.nl/xmlpages/page/2014-2015/zoek-vak/vak/12775,2014,20th Century Russian and Soviet History,Engels,"Geschiedenis, archeologie en regiostudies","['/xmlpages/page/2014-2015/zoek-docent/docent/9001', '/xmlpages/page/2014-2015/zoek-docent/docent/7471']","['dr. A.M. Kalinovsky', 'prof. dr. M. Kemper (co-ordinator)']","['/xmlpages/page/2014-2015/zoek-opleiding/opleiding/482', '/xmlpages/page/2014-2015/zoek-opleiding/opleiding/611']","['Objectives', 'The skills we train are: analysis of complex historical developments and critical writing; disciplined discussion and asking good questions. In the work groups we will read original documents that allow us to go into depth with issues introduced in the lecture. Also film material will put you into the shoes of Soviet citizens and their leaders. Students will regularly write short summaries of texts and documents, and develop a well-defined individual research project culminating in a term paper. While teaching is in English (as are all class readings), you can submit your written assignments also in Dutch or German.', 'Contents', 'No country has witnessed the kind of upheavals and transformations that Russia underwent in the twentieth century. The history of modern Russia is fascinating, inspiring, horrifying, but never boring. This course will introduce students to the modern history of Russia from the late imperial period to the present day. Next to giving you a general understanding of the major developments and breaking points, the seminar will explore several core topics over time:a) the functioning of the Communist Party and the role of \xa0its leaders (from Lenin and Stalin over Khrushchev and Brezhnev to Gorbachev), esp. with regards to repression and reform;', 'b) mechanisms of mass mobilization, in the context of ideological changes and economic development;', 'c) how minority nationalities were incorporated into the Soviet system, and the identity of the Russians within the USSR and after 1991;', 'd) the link between domestic and foreign policies; and', ""e) the continuities between the Soviet period and today's Russian Federation under Yeltsin and Putin."", 'Registration', 'See “Course- and exam registration” in the A-Z of your program on https://www.student.uva.nl', ""If you are absent from the first class meeting without the lecturer's consent you lose your right to follow the course."", 'Time', 'See for the timetable of this course: http://rooster.uva.nl', 'Study materials', 'At the beginning of each class current events (e.g. Russia’s relation to Ukraine) will be discussed, which means you should prepare yourself by reading quality newspapers or at least watch BBC world news/NOS Journaal', 'Please purchase the course book: Ronald G. Suny, The Soviet Experiment: Russia, the USSR and the Successor States (any edition will do – 1998 or 2011). Additional articles as well as documentary sources will be available through Blackboard.', 'Assessment and testing', 'Grading: 40% weekly assignments; 10% participation in class discussions; 50 % term paper.']"
https://studiegids.uva.nl/xmlpages/page/2014-2015/zoek-vak/vak/742562,2014,A City full of Gods: Religion in Athenian Democracy,English,"History, Archaeology and Area Studies",['/xmlpages/page/2014-2015/zoek-docent/docent/500214'],"[""mw. dr. P.E. van 't Wout""]","['/xmlpages/page/2014-2015/zoek-opleiding/opleiding/1057', '/xmlpages/page/2014-2015/zoek-opleiding/opleiding/1312', '/xmlpages/page/2014-2015/zoek-opleiding/opleiding/66662']","['Contents', ""In ancient Greek poleis, the gods were an integral part of society. Although radical thinkers occasionally toyed with atheism in thought experiments, the presence of the gods was simply a given in daily life. From major gods like Demeter to local healing heroes, each had needs and desires, moods and sympathies, just like mortals; but without mortality to put a check on the gods' whims, those mortals had to spend a significant portion of their time and resources on keeping the gods satisfied."", 'This basic fact will be the starting point for our study of classical Athenian democracy. How did the presence of the gods affect the development of democratic ideology and practice ? In this course, we will study a variety of historical, literary and archeological sources to trace how religion shaped\xa0the democratic institutions and politics of classical Athens', 'Registration', 'Through SIS-UvA, from 3 December (8 hrs) to 16 December (13 hrs). This course is being offered at the UvA.', 'In this period Amsterdam University students can use the ""Aanmelden"" button above as well.', 'All applications are registered on a waiting list. Enrollment follows after the application period is closed.', 'Priority for ACASA and History students.', 'Teaching method', 'Seminar.', 'Time', 'See the timetable of this course on https://rooster.uva.nl.', 'Study materials', 'To be announced.']"
https://studiegids.uva.nl/xmlpages/page/2014-2015/zoek-vak/vak/742506,2014,A crisis of centre parties or a crisis of democracy?,English,Graduate school of Social Sciences,['/xmlpages/page/2014-2015/zoek-docent/docent/3380'],['prof.dr. W. (Wouter) van der Brug (co-ordinator)'],['/xmlpages/page/2014-2015/zoek-opleiding/opleiding/48'],"['Objectives', 'Obtaining knowledge of state of the art of literature on party system change Obtaining the ability to critically evaluate empirical research Obtaining the ability to conduct research Improve writing skills', 'Contents', 'Modern representative democracies are party democracies. Some would go as far as Schattschneider (1942), who argued that “Political parties created modern democracy and modern democracy is unthinkable save in terms of parties”. Yet, there are good reasons to think that contemporary party democracy is facing a crisis. Over the past two decades, parties with governing potential have lost support to populist or extremist parties of the left and right, or to protest parties without an ideological profile, such as Pirate Parties, or Beppe Grillo’s movement. We have seen these developments in almost all established democracies, except for a country like the US, where the electoral system prevents the rise of new parties, but where a radical opposition movement organised itself within one of the mainstream parties. Other empirically observable indicators of the crisis of electoral democracy are decreasing turnout and low levels of trust in political parties. On top of this, we are witnessing an economic crisis, which makes is highly unlikely that the mainstream parties will be able to restore citizens’ confidence in their problem solving capacities.', 'For a long time, party democracy worked well, because, in the words of Peter Mair (2007) it provided the synthesis between popular democracy and constitutional democracy. Yet, centre parties are facing some fundamental challenges. The first challenge is that their capacity to influence policies have been reduced by the rise of supranational organisations and by the constraints of an increasingly globalised economy. Secondly,\xa0 processes of individualisation and emancipation of voters have made electorates increasingly volatile and parties more uncertain. Third, media fragmentation makes communication with voters increasingly difficult. As a consequence of all these developments, we may be witnessing a growing gap in modern party democracy between highly responsive outsider parties on the one hand and increasingly unresponsive and responsible parties of government on the other, as argued by Mair. He suggested that if parties are failing, and if modern democracy cannot exist without parties, we may soon see the end of democracy as we know it. Others are more optimistic.', 'In this seminar we will discuss recent theoretical contributions and empirical studies dealing with various aspects of the functioning of electoral democracy.', 'Registration', 'During the registration period: Monday 6 October 08:30 and Friday 10 October 13:00.', 'You can find this course either by title or by code 7324A126I', 'Teaching method', 'Student presentations and group discussion', 'Contact hours', 'Course weekTeaching methodHours/weekRemarks1 - 8Werkcollege4These contact hours are approximate and do not include hours for assignments, hours for reading, etc. Extra classes may be planned in January. Please see the course manual (syllabus) on Blackboard for more details.', 'Time', 'Please see http://www.roosters.uva.nl', 'Select “Add timetable”, than “Add course timetable” and search for either the course title or the course catalogue number.', 'Study materials', 'T.b.a.', 'Min/max participants', 'Max. 25 students.', 'Assessment and testing', 'For students of the master Political science:', 'Each week: short position\xa0 papers of 500 to 800 words (determines 20% of the grade). Final assignment:\xa0 paper', 'For students of the Research Maser Social Sciences:', 'Each week: short position\xa0 papers of 500 to 800 words (determines 20% of the grade). Final assignment:\xa0 research paper, including empirical analyses', 'Remarks', 'The seminar is open to students of the Research Master Social Sciences as well as the master Political science.', 'Political science students are allowed to write their papers in Dutch.']"
https://studiegids.uva.nl/xmlpages/page/2014-2015/zoek-vak/vak/10540,2014,A Political Geography of the European Union,English,College of Social Sciences,"['/xmlpages/page/2014-2015/zoek-docent/docent/4081', '/xmlpages/page/2014-2015/zoek-docent/docent/4092']","['mw. dr. V.D. (Virginie) Mamadouh (co-ordinator)', 'dr. J.D. Markusse']","['/xmlpages/page/2014-2015/zoek-opleiding/opleiding/62', '/xmlpages/page/2014-2015/zoek-opleiding/opleiding/91', '/xmlpages/page/2014-2015/zoek-opleiding/opleiding/157']","['Objectives', 'Students:', 'Are able to grasp the processes of ethnic-political integration and fragmentation in Europe, ranging from the evolution of the European Union to ethno-regionalism and nationalism;Are able to assess policy documents and political opinions critically;Are able to apply their knowledge and insights to the development of a policy statement;Have the communication skills to participate in a collective decision making process.', 'This course contributes to the following exit qualifications of the Bachelor Sociale Geografie en Planologie: K1,K6, K7, K8,K9, \xa0K10, K11, K18, T1, T4, T5, T6, T7, T8, T9-12, O1, O2, C1, C2, C3, C4, L1,L3', 'Contents', 'This course introduces the students to the political geography of the European Union. It offers a geographical assessment of political integration and the functioning of the European Union. The course starts with an historical overview of the integration process and the EU institutions. We discuss the geographical dimensions of of European integration and its impact on state territoriality, political and territorial features of the European Union, scales of governance, multilevel governance, crossborder cooperation, enlargement, external borders, internal mobility and the regulation of the external border and the role of the EU in foreign affairs. In addition students will engage more specifically with the positions of the member states in round tables about topical decision making issues such as enlargement.', 'Registration', 'De vakaanmelding voor vakken Sociale geografie en Planologie van het tweede semester 2014-2015 gaat open op dinsdag 2 december 2014 om 8.00 uur en sluit op dinsdag 16 dec om 13:00 uur.', 'Teaching method', 'Lectures, seminars and round tables.', 'Contact hours', 'Course weekTeaching methodHours/weekRemarks6 - 13Overig8Dit aantal is een gemiddelde voor de vakken in het derdejaar tezamen', 'Time', 'Zie https://rooster.uva.nl/', 'Study materials', 'Academic articles.Jonsson, C., S. Tagil & G. Tornquist (2000). Organizing European Space. London, Sage', 'Boeken kunnen besteld worden via Sarphati: http://www.nbs.nl/index.asp?winkel=Studievereniging+Sarphati', 'Assessment and testing', 'Active participation in seminar including presentations, written exam, essays and performance in round tables.', 'Remarks', 'Students in the Amsterdam Exchange Programme – Social Sciences receive information on the course registration procedures by the International Office Social Sciences. Other exchange students can contact their faculty International Office for more information. It is not possible to register for this course through Studieweb or Blackboard, or by contacting the lecturer.']"
