year,course_title,language,college,lecturers,programmes,text
2021,Research Master Tutorial Philosophy 2,English,Graduate School of Humanities,['/xmlpages/page/2021-2022/zoek-docent/docent/507264'],['/xmlpages/page/2021-2022/zoek-opleiding/opleiding/6354'],"['Contents', 'Tutorials are small but intense 6 ECTS classes that you organize yourself – following your own research interests and in agreement with the availability and expertise of the teaching staff. These tutorials will enable you to engage in an intensive exchange with the research of staff members. The department offers three kinds of tutorials: regular tutorials, colloquia-as-tutorials, and internships-as-tutorials.', 'You should follow three tutorials. The tutorials often pave the way for your thesis, thus allowing prolonged engagement with a given topic under the direct supervision of an experienced researcher. You have to register the tutorials you follow on the Canvas site of the research master.', 'Regular tutorial', 'Ideally this tutorial consists of 2-5 students, who meet the teacher between 4 and 6 times for intense discussions of their readings. The average amount of reading that you are expected to do for a tutorial can be around 4 monographs or 12 key articles. This may of course vary due to the difficulty of the primary texts. Although the study efforts are flexible and can be determined by the respective teacher (presentations, minutes, reading reports etc. are all acceptable) there needs to be at least one written piece (worked out presentation, paper). The tutorial is graded with a mark.', 'Colloquium-as-tutorial', 'The Philosophy department hosts three recurring research colloquia – the PPA Colloquium, the DIP Colloquium, and the APES Seminar –, in which national and international researchers are invited to present their work. Meetings are approximately once a month. The Philosophy and Public Affairs colloquium focusses on political philosophy and ethics, the Discourse and Philosophy colloquium on philosophy of language and logic and the Amsterdam Philosophy Encounters Science & Society seminar on philosophy of science. Attendance of these research seminars during one semester can also count as a tutorial and is highly recommended when these are within your field of interest. Examination conditions are decided upon in consultation with the coordinator of the research colloquia (PPA: G.vanDonselaar@uva.nl & R.Celikates@uva.nl; DIP: L.Incurvati@uva.nl; APES: F.Russo@uva.nl)', 'Internship-as-tutorial', 'An important objective in the research master is to acquire the practical skills needed for performing scientific research in philosophy. The goal of an internship-as-tutorial is to provide you with the opportunity to acquire practical skills in carrying out academic research.\xa0For the internships you participate in projects of the philosophy department’s staff, like preparing an academic conference, editing an academic volume or journal issue, or assisting in academic teaching.\xa0Depending on the internship. Some internships might require substantial knowledge of a specific philosophical field of research.\xa0Vacant internships for the first semester are announced in May and internships for the second semester are announced in November.', 'Registration', 'Information about course registration can be found here.']"
2021,"""Losing Earth""?: Activism and diplomacy on the environment and climate since 1968.",English,Graduate School of Humanities,"['/xmlpages/page/2021-2022/zoek-docent/docent/8011', '/xmlpages/page/2021-2022/zoek-docent/docent/8677']",[],"['Objectives', '- Obtain knowledge of the emergence of environmental degradation and climate change as subjects of transnational activism and international relations since the middle of the 20th century.', '- Gain insight into the politics of environmental protection and collective action against climate change since the 1960s, globally and in various parts of the world.', '- Apply historical knowledge and historical thinking on these issues in a contemporary case-study, using scholarly literature and historical and contemporary primary sources.', '- Present the preliminary results of the research to other members of the group; provide and receive peer-review; present the end-result of the research in a wider context, with commentary from members of the UvA-ASH research group Environment & Society: contestation & governance.', '', 'Contents', 'The way the modern world since the 19th century has created wealth and prosperity--a carbon-based economy--has caused ecological and climatological problems so severe that most of this progress will be at risk for people all over the world in this century. This is the great paradox, and challenge, of our time: what has made many people thrive, and what others hope will do the same for them, now threatens most of what has been accomplished.', '', 'As humanity has become aware of the threat, there has been a close connection between on the one hand, what happens locally, regionally, and nationally, and, on the other hand, what individuals, groups, and governments have been able to accomplish inter- and transnationally.', '', ""Without a scientific consensus there can be no basis for action; without local and transnational activism, there's little incentive for meaningful diplomacy. These three aspects: emergence of a scientific consensus on the important environmental and climate challenges; civil society activism, but also skepticism and denial; and international diplomacy will be central in this course for the period since the 1960s. In light of the global nature of the challenges, the emphasis will be on international and transnational aspects."", '', 'This is a history course. As historians we believe that contemporary challenges cannot be understood without knowledge of their history, and that historical thinking is indispensable as a basis for meaningful action in the present. The recent history of action and inaction on environmental and climate questions is particularly contested, and it will be one of our tasks to grapple with it. History will not provide simple prescriptions for action on the difficult questions. Still, the goal for the research projects is to find convincing ways to have historical research inform present-day debates.', 'Teaching method and contact hours', 'Twice-weekly seminar meetings; common readings and discussions; peer-review of research plans; presentation of research results at a public forum.', 'Remarks', 'Lanquage of instruction will be English']"
2021,"1.1: Gezondheid, zorg, en informatie",Nederlands,Medische informatiekunde,['/xmlpages/page/2021-2022/zoek-docent/docent/10446'],"['/xmlpages/page/2021-2022/zoek-opleiding/opleiding/6746', '/xmlpages/page/2021-2022/zoek-opleiding/opleiding/6757']","['Inhoud', 'Gezondheid, zorg, en informatie']"
2021,1.2: Ontwikkelen van zorgapplicaties,Nederlands,Medische informatiekunde,['/xmlpages/page/2021-2022/zoek-docent/docent/5991'],"['/xmlpages/page/2021-2022/zoek-opleiding/opleiding/6746', '/xmlpages/page/2021-2022/zoek-opleiding/opleiding/6757']","['Inhoud', 'Ontwikkelen van zorgapplicaties']"
2021,1.3: Volksgezondheid & gezondheidszorg,Nederlands,Medische informatiekunde,['/xmlpages/page/2021-2022/zoek-docent/docent/502590'],"['/xmlpages/page/2021-2022/zoek-opleiding/opleiding/6746', '/xmlpages/page/2021-2022/zoek-opleiding/opleiding/6757']","['Inhoud', 'Volksgezondheid & gezondheidszorg']"
2021,1.4: Hoe werken & denken dokters,Nederlands,Medische informatiekunde,['/xmlpages/page/2021-2022/zoek-docent/docent/11899'],"['/xmlpages/page/2021-2022/zoek-opleiding/opleiding/6746', '/xmlpages/page/2021-2022/zoek-opleiding/opleiding/6757']","['Inhoud', 'Hoe werken & denken dokters']"
2021,1.5: Wiskunde en logische diagnoses,Nederlands,Medische informatiekunde,['/xmlpages/page/2021-2022/zoek-docent/docent/5461'],"['/xmlpages/page/2021-2022/zoek-opleiding/opleiding/6746', '/xmlpages/page/2021-2022/zoek-opleiding/opleiding/6757']","['Inhoud', 'Wiskunde en logische diagnoses', '']"
2021,1.6: Zelfzorg met e-health,Nederlands,Medische informatiekunde,['/xmlpages/page/2021-2022/zoek-docent/docent/10447'],"['/xmlpages/page/2021-2022/zoek-opleiding/opleiding/6746', '/xmlpages/page/2021-2022/zoek-opleiding/opleiding/6757']","['Inhoud', 'Zelfzorg met e-health']"
2021,12 jaar aan de wereld timmeren - De Biënnales van Venetië,Nederlands,College of Humanities,['/xmlpages/page/2021-2022/zoek-docent/docent/4362'],['/xmlpages/page/2021-2022/zoek-opleiding/opleiding/6410'],"['Leerdoelen', 'In deze onderzoekswerkgroep leer je', 'hoe je een onderzoek opzet en uitvoert;hoe je een onderzoeksveld afbakent en een werkbare probleemstelling formuleert;welke methodes bruikbaar zijn voor jouw onderzoek;hoe je structuur aanbrengt in je argumentatie.', '', 'Dit leer je door binnen het aangebrachte kader een individueel onderzoeksonderwerp te kiezen en uit te voeren. Maar ook', 'Peer review – anderen helpen door evaluatie en commentaar.', '', 'Er is dus zowel een inhoudelijk leerdoel: kennis te vergaren over een bepaalde periode in de kunstgeschiedenis (2007-2019), een bepaalde tentoonstellingsvorm (biennales), en bepaalde hedendaagse concepten (kunst en wereld, kunst en kennis); als een praktisch leerdoel: leren onderzoek opzetten, uitvoeren en evalueren.', 'Inhoud', 'In 2001 was Harald Szeemann curator van de eerste Biennale in Venetie in het nieuwe millennium. De titel was Plateau of Humankind. Op dat Plateau bracht Szeemann kunstwerken en objecten bijeen uit zoveel mogelijk regionen en culturen in de wereld. Rodin’s Denker had hierin een veelzeggende plaats. Iedere nieuwe curator van de Biennale formuleert een thema, en vooral sinds 2007 zien we dat het Wereld thema vaste voet aan de grond heeft gekregen. Al in 2005 organiseerde Robert Storr het symposium Where Art Worlds meet: Multiple Modernities and the Global Salon. Hij was de curator van de Biennale in 2007 – Think with the Senses, Feel with the Mind. Een heldere aanwijzing voor de bijdrage en rol van de kunst in de wereld. In 2009 had de Biennale de titel Making Worlds. Curator Daniel Birnbaum schreef: ‘a work of art is more than an object, more than a commodity. It represents a vision of the world (…) it can be seen as world-making’. De Biennale in 2013 heette The Encyclopedic Palace \xa0(curator Massimilio Gioni) en wilde het verlangen tonen ‘om alles te weten over de transformatieve macht van de verbeelding’. In 2015 werd de politieke betekenis van kunst expliciet zichtbaar gemaakt in Okwui Enwezor’s Biennale, All the World’s Futures. De curator in 2017 (Christine Macel) was misschien wat terughoudender en vroeg zich af wat voor invloed de spanningen in de wereld hebben op kunstenaars. De Biennale 2019 is bij het schrijven van deze tekst nog niet begonnen, maar curator Ralph Rugoff geeft zijn Biennale (en ons) een chinees gezegde mee: May you live in interesting times. Een tijd van alternatieve feiten en ‘post-truth’.', 'De thema’s van de Biennales hebben alles te maken met tendensen in de kunst en in de kunstpraktijk (artistic research) om aan de wereld te timmeren. In de afgelopen 20 jaar zijn er talloze nieuwe nationale paviljoens bijgekomen uit de hele wereld. Maar dit roept ook interessante vragen op: hoe kun je dit idee van natiestaten kortsluiten met het idee van een open en fluïde wereld? Zeker als de kunstpraktijk die grenzen vaak juist helemaal niet belangrijk vindt (maar misschien soms ook wel). En wat is dan de rol of functie van de kunst en kunstenaar in de wereld? Maar ook institutioneel gezien: wat is de rol van de(ze) Biennale voor de kunst en voor onze reflectie op de kunst. En niet in de laatste plaats hoe dragen kunstenaars bij aan kennis over de wereld, over cultuur, politiek, wetenschap?', 'Deze Biennales (de thema’s en concepten, curatoren, kunstenaars en werken) vormen het kader van deze onderzoekswerkgroep. Na een introductie van het kader, en het gezamenlijk bespreken van verschillende aspecten ervan, gaan studenten zelf aan de slag met een individueel onderwerp. Er zal een lijst met onderzoeksonderwerpen beschikbaar zijn. Eigen inbreng is ook mogelijk (na overleg).', 'Aanbevolen voorkennis', 'Wetenschapsfilosofie is geen ingangseis, maar wordt ten zeerste aanbevolen.', 'Aanmelden', 'Informatie over de vakaanmelding en de vakaanmeldperiodes vind je hier.Bij overinschrijving hebben (derdejaars)studenten Kunstgeschiedenis voorrang.', 'Werkvorm en contacturen', '1x 2 uur per week college. De onderzoekswerkgroep bestaat uit 2 hoorcolleges, werkgroepsbijeenkomsten en zelfstudie (individueel onderzoek). In de periode van zelfstudie zullen er feedback bijeenkomsten zijn.', 'Studiemateriaal', 'Studiemateriaal zal voor het begin van de werkgroep op Canvas beschikbaar zijn.', 'Toetsing', 'Toetsing geschiedt door middel van enkele kleine opdrachten, een pitch presentatie, een onderzoeksverslag.']"
2021,2.1: Klinische Epidemiologie en Biostatistiek,Nederlands,Medische informatiekunde,['/xmlpages/page/2021-2022/zoek-docent/docent/7082'],['/xmlpages/page/2021-2022/zoek-opleiding/opleiding/6746'],"['Inhoud', 'Klinische Epidemiologie en Biostatistiek']"
